split,feature_set,target,fold,pretext_cross_entropy,prior_cross_entropy,uniform_cross_entropy,ce_lift_vs_prior,ce_lift_vs_uniform,top1_match_rate,train_rows,validation_rows,uses_public_score,uses_train_labels_for_pretext,teacher_source,responsibility_blend
row_block_holdout,future_cohort_relative_balanced,Q1,0.0,1.0354328589084871,1.0515631332685709,1.6094379124341003,0.01613027436008374,0.5740050535256132,0.7888888888888889,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q1,1.0,1.029748626149642,1.0464717821565561,1.6094379124341003,0.016723156006914097,0.5796892862844583,0.7555555555555555,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q1,2.0,1.0663814257692423,1.0793213195957154,1.6094379124341003,0.012939893826473092,0.543056486664858,0.7,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q1,3.0,1.041693010110658,1.0509184505525664,1.6094379124341003,0.009225440441908317,0.5677449023234422,0.7888888888888889,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q1,4.0,1.041393755915427,1.0543974567924073,1.6094379124341003,0.013003700876980329,0.5680441565186733,0.7,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q2,0.0,1.0174069121266376,1.0423393340065468,1.6094379124341003,0.024932421879909183,0.5920310003074627,0.6333333333333333,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q2,1.0,0.9986026207689853,1.0277731791620093,1.6094379124341003,0.02917055839302396,0.610835291665115,0.8,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q2,2.0,1.0478729046604616,1.0695752682851194,1.6094379124341003,0.021702363624657828,0.5615650077736387,0.5777777777777777,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q2,3.0,1.0244856343770183,1.0438572598038978,1.6094379124341003,0.019371625426879424,0.5849522780570819,0.7111111111111111,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q2,4.0,1.0130529266889778,1.0367070614948017,1.6094379124341003,0.0236541348058239,0.5963849857451224,0.6,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q3,0.0,1.0465472500101036,1.0549520163624344,1.6094379124341003,0.008404766352330784,0.5628906624239967,0.8333333333333334,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
row_block_holdout,future_cohort_relative_balanced,Q3,1.0,1.0757110162987054,1.0866853227862503,1.6094379124341003,0.010974306487544938,0.5337268961353949,0.6222222222222222,360.0,90.0,False,False,future_cohort_transported_prototype_reliability,0.35
