rowweighted_delta_vs_h012,uniform_delta_vs_h012,row_beats_rate,row_p90_delta,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h018,max_abs_prob_delta_vs_h018,h018_rowweighted_delta_vs_h012,h019_rowweighted_delta_vs_h012,h020_decision,decision_rank,file
-0.0006939242528935757,-0.0006547000559699626,0.868,0.0,move_all_k400_a0.75,move,all,400,0.75,207,400,0.004651836111495758,0.09299138979406657,0.009920050204344104,0.05800258760460897,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006900986491115652,-0.0006816772058580484,0.996,-0.00013143700290207635,shift_all_k1000_a1.25,shift,all,1000,1.25,249,1000,0.012942151571715084,0.1528531517928886,0.01608657968039243,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.000689689016263753,-0.0006812838058851049,0.996,-0.0001313725172298251,shift_all_k1000_a0.75,shift,all,1000,0.75,249,1000,0.0078101511289750914,0.09299138979406657,0.0116751691780788,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006390546408449934,-0.000605854392455307,0.888,0.0,gain_all_k400_a0.55,gain,all,400,0.55,212,400,0.004017378862374794,0.0683812235945499,0.00922523285371612,0.05800258760460897,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006208955378115723,-0.0006076751647265532,1.0,-0.00015732537121297566,combined_S_k1000_a1,combined,S,1000,1.0,250,1000,0.008346834665694212,0.06151024528038351,0.010121724403421106,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006208955378115723,-0.0006076751647265532,1.0,-0.00015732537121297566,combined_S_k1300_a1,combined,S,1300,1.0,250,1000,0.008346834665694212,0.06151024528038351,0.010121724403421106,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006208955378115723,-0.0006076751647265532,1.0,-0.00015732537121297566,combined_S_k1600_a1,combined,S,1600,1.0,250,1000,0.008346834665694212,0.06151024528038351,0.010121724403421106,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006208955378115723,-0.0006076751647265532,1.0,-0.00015732537121297566,combined_S_k1750_a1,combined,S,1750,1.0,250,1000,0.008346834665694212,0.06151024528038351,0.010121724403421106,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006208955378115723,-0.0006076751647265532,1.0,-0.00015732537121297566,gain_S_k1000_a1,gain,S,1000,1.0,250,1000,0.008346834665694212,0.06151024528038351,0.010121724403421106,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006208955378115723,-0.0006076751647265532,1.0,-0.00015732537121297566,gain_S_k1300_a1,gain,S,1300,1.0,250,1000,0.008346834665694212,0.06151024528038351,0.010121724403421106,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
