split,target,mode,rep,null_delta
dateblock5,S4,row,3,0.03377586952028222
dateblock5,S4,row,4,0.022370901423772627
dateblock5,S4,row,5,0.0325022529883533
dateblock5,S4,subject,0,0.027905342315743376
dateblock5,S4,subject,1,0.04152933809535453
dateblock5,S4,subject,2,0.009395692400918199
dateblock5,S4,subject,3,0.03507277786475893
dateblock5,S4,subject,4,0.029271441707022894
dateblock5,S4,subject,5,0.03507663295840924
dateblock5,S4,dateblock,0,0.05630044722756311
dateblock5,S4,dateblock,1,0.014341039234080144
dateblock5,S4,dateblock,2,0.03724411273533701
dateblock5,S4,dateblock,3,0.022202600383341098
dateblock5,S4,dateblock,4,0.027784723341987005
dateblock5,S4,dateblock,5,0.046050304865076885
