law_name,feature_view,model_name,policy,param,logloss,selected_rows,switched_cells,mean_realized_gain_all_rows,mean_realized_gain_selected_rows,positive_row_gain_rate,row_null_p_ge_observed,row_null_z,row_null_mean,row_null_std
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,topfrac,0.06,0.6490496536966938,6,42,-0.012052571545698857,-0.21092000204973002,0.0,1.0,-4.274069617513391,-0.00080212922122004,0.00263225528156563
full_row_context__tree_depth3_leaf4,full_row_context,tree_depth3_leaf4,topfrac,0.06,0.6490496536966938,6,42,-0.012052571545698857,-0.21092000204973002,0.0,1.0,-4.124417469835193,-0.0010341098422523127,0.0026715195016102063
full_row_context__tree_depth5_leaf2,full_row_context,tree_depth5_leaf2,threshold,-0.02,0.6491264876062044,94,658,-0.012129405455209541,-0.013548803965925551,0.43617021276595747,0.445,0.15822755431617316,-0.012682606055557067,0.0034962342857307264
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,threshold,0.02,0.6491369225302234,38,266,-0.012139840379228549,-0.033544295784710465,0.3684210526315789,0.9096666666666666,-1.3267833096577324,-0.0050178615653191415,0.005367853787478416
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,threshold,-0.01,0.6492835335341398,85,595,-0.012286451383145,-0.01517738112035559,0.47058823529411764,0.09366666666666666,1.3498642092764825,-0.016542835507744248,0.003153194295654849
episode_context__tree_depth4_leaf3,episode_context,tree_depth4_leaf3,threshold,0.005,0.6493488570554957,50,350,-0.012351774904501013,-0.025938727299452128,0.42,0.6806666666666666,-0.45955944924614345,-0.009657450012797402,0.005862842981736866
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,threshold,-0.02,0.6495634128408947,96,672,-0.012566330689899803,-0.013744424192077909,0.4479166666666667,0.005833333333333334,2.7586337740577043,-0.018742276426201982,0.0022387697107100644
episode_context__elasticnet_sparse,episode_context,elasticnet_sparse,threshold,0.005,0.649568810561699,65,455,-0.01257172841070419,-0.02030817666344523,0.4461538461538462,0.3845,0.28267568787604874,-0.013659935354907943,0.00384966585694106
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,topfrac,0.08,0.6497491115686996,8,56,-0.012752029417704825,-0.16737038610737584,0.0,1.0,-3.6273006647851447,-0.0016755645829914952,0.003053638465166885
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,topfrac,0.08,0.6497491115686996,8,56,-0.012752029417704825,-0.16737038610737584,0.0,0.9998333333333334,-4.062816844801406,-0.000841224447511087,0.0029316618063731465
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,threshold,-0.01,0.6497946848471404,63,441,-0.012797602696145586,-0.02132933782690931,0.42857142857142855,0.8873333333333333,-1.2052692047695954,-0.006247736113505103,0.00543435985647089
episode_context__tree_depth4_leaf3,episode_context,tree_depth4_leaf3,threshold,0.02,0.649846496590732,47,329,-0.012849414439737309,-0.02870613864196633,0.40425531914893614,0.7278333333333333,-0.6268570414445651,-0.009164668453033046,0.005878128094745374
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,threshold,0.0,0.6498485627491432,68,476,-0.012851480598148383,-0.019844197982435002,0.45588235294117646,0.439,0.13144916837260714,-0.013354384720936162,0.0038258448418801807
episode_context__tree_depth4_leaf3,episode_context,tree_depth4_leaf3,threshold,0.01,0.6499533475730652,49,343,-0.012956265422070453,-0.027763425904436683,0.40816326530612246,0.712,-0.5829295120688506,-0.009531486223714542,0.005875117192473531
episode_context__elasticnet_sparse,episode_context,elasticnet_sparse,threshold,0.0,0.6500877638111154,69,483,-0.013090681660120621,-0.019920602526270512,0.43478260869565216,0.35633333333333334,0.3743633520344629,-0.01449483858630952,0.0037507862843893843
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,threshold,0.08,0.6503743921890062,11,77,-0.013377310038011323,-0.1276925049082899,0.09090909090909091,0.9996666666666667,-3.456702693567316,-0.0014198486650107305,0.0034592102454320413
full_row_context__tree_depth3_leaf4,full_row_context,tree_depth3_leaf4,threshold,0.08,0.6503743921890062,11,77,-0.013377310038011323,-0.1276925049082899,0.09090909090909091,0.9998333333333334,-3.294499727483686,-0.001820633452808942,0.003507869947231498
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,threshold,-0.02,0.6509326437334235,105,735,-0.013935561582428688,-0.013935561582428688,0.4095238095238095,0.6618333333333334,1.734723475976807e-06,-0.01393556158242869,1.9949725434524425e-18
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,threshold,-0.02,0.6511101588971907,93,651,-0.01411307674619581,-0.01593411890699527,0.40860215053763443,0.08183333333333333,1.375938237284006,-0.01914693069279654,0.003658488302888624
full_row_context__tree_depth4_leaf3,full_row_context,tree_depth4_leaf3,threshold,0.0,0.6515764145003455,47,329,-0.014579332349350787,-0.032570848865570906,0.3829787234042553,0.8645,-1.1078762069515742,-0.008281903751833224,0.005684234897367758
full_row_context__tree_depth4_leaf3,full_row_context,tree_depth4_leaf3,threshold,0.005,0.6517153300459393,42,294,-0.014718247894944558,-0.036795619737361396,0.38095238095238093,0.9026666666666666,-1.2988361741677041,-0.0072947043925259865,0.005715534915075481
full_row_context__tree_depth4_leaf3,full_row_context,tree_depth4_leaf3,threshold,0.01,0.6517153300459393,42,294,-0.014718247894944558,-0.036795619737361396,0.38095238095238093,0.9026666666666666,-1.2988361741677041,-0.0072947043925259865,0.005715534915075481
route_reset_context__tree_depth2_leaf5,route_reset_context,tree_depth2_leaf5,threshold,-0.02,0.6517185086008551,105,735,-0.014721426449860214,-0.014721426449860214,0.4380952380952381,0.8623333333333333,-1.734723475976807e-06,-0.014721426449860213,2.6088477950948436e-18
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,topfrac,0.15,0.6519188198677106,16,112,-0.01492173771671579,-0.09792390376594737,0.25,0.9995,-3.2920668258164945,-0.0015618236199106148,0.004058214733685324
episode_context__tree_depth4_leaf3,episode_context,tree_depth4_leaf3,topfrac,0.15,0.6520194851672378,16,112,-0.015022403016243002,-0.0985845197940947,0.3125,0.9978333333333333,-2.7817444973464944,-0.0031079754981770064,0.0042830775901349545
full_row_context__tree_depth4_leaf3,full_row_context,tree_depth4_leaf3,topfrac,0.15,0.6521052599831259,16,112,-0.015108177832131,-0.09914741702335969,0.25,0.9988333333333334,-2.95966861002041,-0.002800338259970572,0.0041585194810291794
episode_context__tree_depth2_leaf5,episode_context,tree_depth2_leaf5,threshold,-0.02,0.6522792126631738,105,735,-0.015282130512179021,-0.015282130512179021,0.42857142857142855,0.9925,0.0,-0.015282130512179021,3.558806012468949e-18
