variant_kind,variant_name,pool_size,asym_all_delta,sym16_all_delta,sym20_all_delta,asym_minus_sym16,asym_minus_sym20,asym_strict,asym_deployable,sym16_deployable,sym20_deployable,asym_beats_sym16,asym_beats_sym20,asym_hidden_q2s3,asym_world,asym_block_win,best_pair_name,best_dominant_axis,best_all_delta,best_deployable_pair_name,best_deployable_axis,best_deployable_all_delta
group_keep,support_count_2,6,-1.1290326894175529e-05,-9.648069760781475e-06,-9.806013438806715e-06,-1.6422571333940539e-06,-1.484313455368813e-06,True,True,False,False,True,True,-0.00034295486488632176,-0.00019598448707768283,0.6666666666666666,q2a8_s3a32,s3_higher,-1.1320809476300653e-05,q2a8_s3a32,s3_higher,-1.1320809476300653e-05
bootstrap8,bootstrap8_017,8,-1.1541412873516954e-05,-9.857318495232192e-06,-9.947811212107638e-06,-1.6840943782847617e-06,-1.5936016614093163e-06,False,False,False,False,True,True,-0.0003370703276679571,-0.0002256440847056007,0.7222222222222222,asym8_28_e75,s3_higher,-1.1541412873516954e-05,q2a8_s3a24,s3_higher,-1.1319962298972364e-05
bootstrap8,bootstrap8_014,8,-1.1702032495342074e-05,-1.0046233641203273e-05,-1.0120336766950011e-05,-1.6557988541388013e-06,-1.581695728392063e-06,False,False,True,False,True,True,-0.00033578405822407703,-0.0002256782951372883,0.7222222222222222,asym8_28_e75,s3_higher,-1.1702032495342074e-05,q2a8_s3a22,s3_higher,-1.1285837725472092e-05
bootstrap8,bootstrap8_042,8,-1.1686949871636543e-05,-1.0042869908688523e-05,-1.0162038211136704e-05,-1.6440799629480196e-06,-1.5249116604998392e-06,False,False,True,False,True,True,-0.00035010323724936343,-0.00024994453100085634,0.7222222222222222,q2a8_s3a32,s3_higher,-1.1728972241220603e-05,q2a8_s3a22,s3_higher,-1.1257190275615336e-05
bootstrap8,bootstrap8_055,8,-1.1586748766223565e-05,-9.976067253059107e-06,-1.0026587754619065e-05,-1.610681513164458e-06,-1.5601610116044995e-06,False,False,False,False,True,True,-0.0003458505262830605,-0.00022233190061772263,0.7222222222222222,asym8_28_e75,s3_higher,-1.1586748766223565e-05,q2a8_s3a22,s3_higher,-1.1223167184382099e-05
bootstrap8,bootstrap8_054,8,-1.1544921221351423e-05,-9.995093309456138e-06,-1.0065477268783596e-05,-1.5498279118952851e-06,-1.4794439525678271e-06,False,False,False,False,True,True,-0.00034927904533461895,-0.00024409127956410157,0.7222222222222222,asym8_28_e75,s3_higher,-1.1544921221351423e-05,q2a8_s3a22,s3_higher,-1.1204600919745289e-05
bootstrap8,bootstrap8_039,8,-1.1538064331295672e-05,-9.924971985819653e-06,-9.992863164387522e-06,-1.6130923454760193e-06,-1.54520116690815e-06,False,False,False,False,True,True,-0.0003458505262830605,-0.00022277192617685122,0.7222222222222222,asym8_28_e75,s3_higher,-1.1538064331295672e-05,q2a8_s3a22,s3_higher,-1.1189219153995289e-05
bootstrap8,bootstrap8_021,8,-1.1664228699248547e-05,-9.930757215226294e-06,-1.0054858854857684e-05,-1.7334714840222532e-06,-1.6093698443908622e-06,False,False,False,False,True,True,-0.0003415680449311148,-0.0002447157040393942,0.7222222222222222,q2a8_s3a32,s3_higher,-1.1744941462832337e-05,q2a8_s3a22,s3_higher,-1.1173357419513863e-05
rank_keep,block_q2s3_beats_base_rate_top10,10,-1.1387642506632822e-05,-9.790523925246042e-06,-9.8451412420264e-06,-1.5971185813867805e-06,-1.5425012646064218e-06,False,False,False,False,True,True,-0.00033064287174704166,-0.00021834104495297444,0.7222222222222222,asym8_28_e75,s3_higher,-1.1387642506632822e-05,q2a8_s3a24,s3_higher,-1.1167078362794847e-05
bootstrap8,bootstrap8_044,8,-1.150713514685986e-05,-9.975953319196762e-06,-1.0019250778814381e-05,-1.5311818276630973e-06,-1.4878843680454779e-06,False,False,False,False,True,True,-0.00034700464390282487,-0.00023774746318492874,0.7222222222222222,asym8_28_e75,s3_higher,-1.150713514685986e-05,q2a8_s3a22,s3_higher,-1.1157941621098288e-05
