variant,family,file,candidate_origin,gate_count,rank_mean,rank_median,rank_min,top1_count,top5_count,top10_count,score_mean,score_std,pred_mean,pred_std_mean,gate_rate,top1_rate,top5_rate,top10_rate
e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_1f057e41.csv,e364_existing,76,86.0,77.0,59.0,0,0,0,5.874288018897818,0.4308702046141441,0.00023250176257382142,0.00010122974074425467,0.7755102040816326,0.0,0.0,0.0
e362_scale_g1.00_q11.08_q20.90_q30.75_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_08_q20_90_q30_75_s10_90_7376bcc9.csv,e364_existing,73,86.23287671232876,86.0,78.0,0,0,0,5.525046111973367,0.2799212186870094,0.00022005706535213414,0.00010372986571490396,0.7448979591836735,0.0,0.0,0.0
e362_scale_g1.00_q11.08_q20.90_q30.45_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_08_q20_90_q30_45_s10_90_bda152a3.csv,e364_existing,73,89.01369863013699,89.0,76.0,0,0,0,5.514796507486635,0.24466098033666803,0.00021877574724169034,0.00010399160530355956,0.7448979591836735,0.0,0.0,0.0
e362_scale_g0.96_q11.08_q20.90_q31.00_s10.70,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g0_96_q11_08_q20_90_q31_00_s10_70_5cfec73f.csv,e364_existing,73,89.04109589041096,80.0,76.0,0,0,0,5.52349225093911,0.3234517275648802,0.00022189428012835916,0.00010411965758650857,0.7448979591836735,0.0,0.0,0.0
e362_scale_g1.00_q11.08_q20.90_q31.00_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_08_q20_90_q31_00_s10_90_bac251d6.csv,e364_existing,74,90.33783783783784,84.5,75.0,0,0,0,5.497015118566843,0.3846664679031613,0.00022317098482335909,0.00010383929882822366,0.7551020408163265,0.0,0.0,0.0
e362_scale_g1.00_q11.08_q20.90_q30.45_s11.00,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_08_q20_90_q30_45_s11_00_2ffbb23b.csv,e364_existing,73,92.67123287671232,90.0,78.0,0,0,0,5.47775389702409,0.2629493510501308,0.00021748443193003245,0.00010382143016509515,0.7448979591836735,0.0,0.0,0.0
e362_scale_g1.00_q11.04_q20.90_q30.75_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_04_q20_90_q30_75_s10_90_ef2f5082.csv,e364_existing,73,92.9041095890411,90.0,85.0,0,0,0,5.451402666246784,0.2505744882935481,0.000219751744744227,0.00010468462235184659,0.7448979591836735,0.0,0.0,0.0
e362_scale_g0.96_q11.08_q20.90_q30.75_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g0_96_q11_08_q20_90_q30_75_s10_90_f2243d75.csv,e364_existing,73,93.17808219178082,92.0,84.0,0,0,0,5.4484828410973885,0.26177304025581244,0.0002193635907244232,0.00010418951246322369,0.7448979591836735,0.0,0.0,0.0
e362_scale_g0.96_q11.04_q20.90_q31.00_s10.70,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g0_96_q11_04_q20_90_q31_00_s10_70_c6b55cd5.csv,e364_existing,73,93.3972602739726,86.0,78.0,0,0,0,5.482124187417054,0.3206166947937075,0.0002218637389691356,0.00010492870821174455,0.7448979591836735,0.0,0.0,0.0
e362_scale_g1.03_q11.08_q20.90_q31.00_s11.30,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_03_q11_08_q20_90_q31_00_s11_30_58916996.csv,e364_existing,87,95.35632183908046,89.0,76.0,0,0,0,5.501732788504489,0.4437403688809073,0.0003280866457330607,0.0001512412452961659,0.8877551020408163,0.0,0.0,0.0
