method,target,target_row_logloss,target_count_nll_per_row,target_rate_mae,target_count_mae,delta_row_vs_subject,delta_row_vs_raw
transition_raw_residual_baseedge_mid_k4_a12_w1.00,S3,2.02891415796963,1.7470262463732587,0.26508875972704055,1.2219945265466015,1.52596046899545,1.5181581050076844
transition_raw_topology_baseedge_mid_k16_a12_w0.65,S3,2.0294323706944932,1.7475444590981215,0.26885184539169094,1.239341433634868,1.526478681720313,1.5186763177325475
transition_raw_residual_baseedge_mid_k8_a4_w0.35,S3,2.0330820611225295,1.7511941495261578,0.25777689742903087,1.1882886247338253,1.5301283721483494,1.5223260081605838
transition_full_transition_baseedge_mid_k8_a12_w0.65,S3,2.0458771214680285,1.763989209871657,0.2634691427166595,1.214528487157284,1.5429234324938483,1.5351210685060828
transition_topology_baseedge_mid_k16_a24_w1.00,S3,2.046642159862232,1.7647542482658605,0.27040944242698783,1.2465215760658706,1.543688470888052,1.5358861069002865
transition_topology_baseedge_mid_k4_a4_w0.65,S3,2.0496039642179182,1.767716052621546,0.26827187015747334,1.236667889262499,1.546650275243738,1.5388479112559725
transition_full_transition_baseedge_mid_k8_a24_w1.00,S3,2.054021507291321,1.7721335956949495,0.26264910805989633,1.2107483273980588,1.551067818317141,1.5432654543293753
transition_raw_topology_baseedge_mid_k8_a12_w0.65,S3,2.05925535506524,1.7773674434688684,0.2631178597312633,1.2129091582733844,1.55630166609106,1.5484993021032945
transition_raw_topology_baseedge_mid_k4_a12_w1.00,S3,2.0593841820100556,1.7774962704136839,0.2659774549997523,1.226091194998858,1.5564304930358754,1.5486281290481099
transition_topology_baseedge_mid_k16_a12_w0.65,S3,2.0609121308737306,1.779024219277359,0.2685764850488485,1.2380720896154236,1.5579584418995505,1.550156077911785
transition_raw_topology_baseedge_mid_k8_a24_w1.00,S3,2.066776349605272,1.7848884380089,0.26227159017067087,1.2090080620062633,1.5638226606310917,1.556020296643326
transition_full_transition_baseedge_mid_k8_a4_w0.35,S3,2.067694260882975,1.7858063492866036,0.2612643246236199,1.204364813508882,1.564740571908795,1.5569382079210294
transition_full_transition_baseedge_mid_k16_a4_w0.35,S3,2.0750965737735934,1.7932086621772216,0.2659712369081998,1.2260625311134088,1.5721428847994132,1.5643405208116477
