story_id,source,mapped_family,split,target,base_loss,state_loss,delta_logloss,state_oof_r2,state_oof_corr,context_cols
bright_light_late,human_social,bedtime_phone,subject5,Q1,0.7086849472657867,0.7181272012920638,0.009442254026277075,-0.704670640656403,0.2291998789565964,117
bright_light_late,human_social,bedtime_phone,subject5,S3,0.6363938446306157,0.6466162382720965,0.01022239364148081,-0.704670640656403,0.2291998789565964,117
commute_workday,human_social,mobility_context,subject5,S4,0.7203119011912373,0.7308594923088487,0.010547591117611388,0.19924570610768388,0.5841203146795481,117
bright_light_late,human_social,bedtime_phone,subject5,Q2,0.7158492250983057,0.7279520746897454,0.012102849591439702,-0.704670640656403,0.2291998789565964,117
vehicle_noise_day,human_social,mobility_context,subject5,S1,0.6621792348492731,0.6751150393053575,0.012935804456084443,0.39792264928503485,0.7089112970958625,117
heart_stress_late,human_social,physiology_activity,subject5,S4,0.7203119011912373,0.7346420979107696,0.014330196719532284,-0.5482125383571812,0.28002593600440295,117
heart_stress_late,human_social,physiology_activity,dateblock5,Q2,0.7039531870021892,0.718363491260366,0.014410304258176798,0.08959478217694794,0.3966877665313356,117
heart_stress_late,human_social,physiology_activity,subject5,Q3,0.694562290161845,0.7096641507322714,0.015101860570426395,-0.5482125383571812,0.28002593600440295,117
bright_light_late,human_social,bedtime_phone,subject5,S2,0.6836444874170926,0.7115405173615216,0.02789602994442897,-0.704670640656403,0.2291998789565964,117
bright_light_late,human_social,bedtime_phone,subject5,S4,0.7203119011912373,0.7625255866746316,0.042213685483394214,-0.704670640656403,0.2291998789565964,117
