source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
cc_recovery__deviation__c0.1_b0.2,0.6257001904122026,0.6731113564316729,0.6934193338477956,0.6697525635371511,0.5767602869848535,0.5799203272012622,0.5435077306617436,0.64342973422094
best__absolute__c0.03_b0.2,0.6257077290223743,0.6700688386963115,0.6963810094635928,0.6731048841639323,0.5763995269109055,0.5799160138070059,0.5400051630577211,0.6440786670571513
cc_chain_interactions__absolute_plus_deviation__c0.03_b0.1,0.6257155078650296,0.6705316675982037,0.7013689840744753,0.6776208968134259,0.5726771950770738,0.5766426339593761,0.5375252119739662,0.643641965558686
cc_chain_interactions__absolute__c0.1_b0.2,0.6257379810234021,0.6679493527607302,0.6985942668659815,0.6787232877433874,0.5721275268142492,0.5772336481220325,0.5450030977577811,0.6405346870996522
cc_recovery__absolute_plus_deviation__c0.1_b0.1,0.6257565721552248,0.672257153097377,0.6997162644650436,0.6741491753151018,0.5750527848898317,0.5779539341534049,0.5372646620853179,0.6439020310804968
cc_opportunity__absolute_plus_deviation__c0.03_b0.1,0.6257575063877786,0.6667534311383652,0.7022598979252316,0.6777474956143931,0.5730236089839834,0.5772031002214439,0.5384779111677002,0.6448370996633324
cc_opportunity__deviation__c0.03_b0.1,0.6257703018465113,0.6679230365386404,0.701422182042361,0.6769005183439488,0.5733195238447545,0.5773050969031398,0.5381310979506068,0.6453906573021277
cc_opportunity__absolute__c0.1_b0.2,0.6258144119996051,0.661275837588117,0.7007488349349421,0.6790102167751336,0.5728040102917876,0.5777581061326126,0.5456472137694791,0.6434566645051631
best__absolute_plus_deviation__c0.03_b0.1,0.6258174224037262,0.6716520400406784,0.7015492939195868,0.6754458128079752,0.5731058069158241,0.5789370435559353,0.5349392489148066,0.6450927106712773
cc_opportunity__absolute__c0.1_b0.1,0.6259009148729495,0.6663180295231868,0.702309768822027,0.6780275991551175,0.5735508692758511,0.5773559020194164,0.5390997089293642,0.6446445263856843
cc_chain_interactions__deviation__c0.03_b0.2,0.6259057584838513,0.6717211943105134,0.6966080588076744,0.6769072869053064,0.5731078884410855,0.5778800200153688,0.5420352245574465,0.6430806363495645
cc_recovery__deviation__c0.1_b0.1,0.6259298772366858,0.6724872908749214,0.6984941663439658,0.6733218437118926,0.5754821858739102,0.5787775793093234,0.5383532746362887,0.644592799906498
cc_recovery__absolute_plus_deviation__c0.03_b0.2,0.6259612756489069,0.6729466845932364,0.6947668348211122,0.6718377607975446,0.5767715022613791,0.5796711800347604,0.5429725822412159,0.6427623847931002
best__absolute__c0.03_b0.1,0.6259634998926827,0.6709949787445867,0.7000193434731458,0.6750821945201467,0.5753631068988976,0.5790171701621872,0.5362190361732678,0.6450486692765475
best__absolute_plus_deviation__c0.3_b0.05,0.625966786648379,0.6716004951990999,0.7037746361408089,0.6764359885314706,0.5739245330370073,0.5789808815091614,0.5312272191126154,0.645823753008489
cc_opportunity__deviation__c0.3_b0.05,0.6259756778719471,0.6683793671769849,0.7036031297304306,0.6775864124449362,0.5729511317518369,0.5773014686762604,0.5364294846295017,0.645578750693679
cc_chain_interactions__deviation__c0.03_b0.1,0.6259808776270879,0.6717332344515174,0.7001117754872036,0.6768892667460518,0.5735193061747469,0.5775645234713953,0.5375503728355012,0.6444976642231993
cc_chain_interactions__deviation__c0.3_b0.05,0.6259852200123667,0.6703902837693024,0.7031372326336678,0.6773213050398335,0.5727234117964922,0.5776202769858462,0.5361288192846037,0.6445752105768204
best__absolute__c0.3_b0.05,0.6260089952192024,0.6712762579539316,0.7020169352861555,0.6757822700377312,0.5752969634733803,0.5783998260635745,0.533579534181316,0.6457111795383271
best__deviation__c0.03_b0.2,0.6260248794841653,0.6703921152095199,0.6969011217921236,0.6724725206122321,0.5734589801377143,0.5825987319463917,0.5411651501930895,0.6451855364980854
cc_chain_interactions__absolute__c0.03_b0.1,0.6260575624341086,0.6710194663773151,0.7005053195684036,0.6768136267914896,0.5743505082572751,0.5772619003898477,0.5383357239504358,0.6441163917039927
cc_chain_interactions__absolute__c0.3_b0.2,0.6260801332549705,0.6673194897474038,0.700190312031333,0.6805255727216886,0.5697265990093112,0.5777255119587378,0.5477534252260234,0.6393200220902956
cc_opportunity__absolute_plus_deviation__c0.3_b0.05,0.6261045107839678,0.6683506451568595,0.7045068948441937,0.6784222378070524,0.5728650374290185,0.5771432417103121,0.5362639748697663,0.6451795436705717
