fold,source,target,loss
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S4,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q1,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q2,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q3,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S1,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S2,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S3,
3,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S4,0.6369668595205068
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
3,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,
3,db_prebed__deviation__c0.1_b0.2,Q1,0.6711109937014759
3,db_prebed__deviation__c0.1_b0.2,Q2,
3,db_prebed__deviation__c0.1_b0.2,Q3,
3,db_prebed__deviation__c0.1_b0.2,S1,
3,db_prebed__deviation__c0.1_b0.2,S2,
3,db_prebed__deviation__c0.1_b0.2,S3,
3,db_prebed__deviation__c0.1_b0.2,S4,
3,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q1,
3,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q2,
3,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,Q3,
3,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S1,
3,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S2,
3,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S3,
3,sleep_intrusion__absolute_plus_deviation__c0.3_b0.2,S4,
4,best_plus_routine_regularity__absolute__c0.3_b0.2,Q1,
4,best_plus_routine_regularity__absolute__c0.3_b0.2,Q2,
4,best_plus_routine_regularity__absolute__c0.3_b0.2,Q3,
4,best_plus_routine_regularity__absolute__c0.3_b0.2,S1,0.6039864350398755
4,best_plus_routine_regularity__absolute__c0.3_b0.2,S2,
4,best_plus_routine_regularity__absolute__c0.3_b0.2,S3,
4,best_plus_routine_regularity__absolute__c0.3_b0.2,S4,
4,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q1,
4,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q2,
4,best_plus_sleep_intrusion__absolute__c0.3_b0.2,Q3,
4,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S1,
4,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S2,0.5836434185006969
4,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S3,
4,best_plus_sleep_intrusion__absolute__c0.3_b0.2,S4,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q1,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q2,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q3,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,S1,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,S2,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,S3,
