fold,source,target,loss
2,td_trajectory__deviation__c0.03_b0.2,Q2,
2,td_trajectory__deviation__c0.03_b0.2,Q3,0.6911436817045309
2,td_trajectory__deviation__c0.03_b0.2,S1,
2,td_trajectory__deviation__c0.03_b0.2,S2,
2,td_trajectory__deviation__c0.03_b0.2,S3,
2,td_trajectory__deviation__c0.03_b0.2,S4,
2,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q1,
2,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q2,
2,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q3,
2,best_plus_trajectory_proto__absolute__c0.03_b0.2,S1,
2,best_plus_trajectory_proto__absolute__c0.03_b0.2,S2,
2,best_plus_trajectory_proto__absolute__c0.03_b0.2,S3,
2,best_plus_trajectory_proto__absolute__c0.03_b0.2,S4,
2,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q1,
2,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q2,0.644498957545382
2,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q3,
2,best_plus_trajectory_proto__deviation__c0.03_b0.2,S1,
2,best_plus_trajectory_proto__deviation__c0.03_b0.2,S2,
2,best_plus_trajectory_proto__deviation__c0.03_b0.2,S3,
2,best_plus_trajectory_proto__deviation__c0.03_b0.2,S4,
2,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q1,
2,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q2,
2,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q3,
2,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S1,
2,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S2,
2,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S3,
2,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S4,
2,best__absolute_plus_deviation__c0.3_b0.2,Q1,0.6679702981260229
2,best__absolute_plus_deviation__c0.3_b0.2,Q2,
2,best__absolute_plus_deviation__c0.3_b0.2,Q3,
2,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5712408781496329
2,best__absolute_plus_deviation__c0.3_b0.2,S2,0.5304593985253098
2,best__absolute_plus_deviation__c0.3_b0.2,S3,0.519412395682011
2,best__absolute_plus_deviation__c0.3_b0.2,S4,
2,td_trajectory__deviation__c0.3_b0.2,Q1,
2,td_trajectory__deviation__c0.3_b0.2,Q2,
2,td_trajectory__deviation__c0.3_b0.2,Q3,
2,td_trajectory__deviation__c0.3_b0.2,S1,
2,td_trajectory__deviation__c0.3_b0.2,S2,
2,td_trajectory__deviation__c0.3_b0.2,S3,
2,td_trajectory__deviation__c0.3_b0.2,S4,
2,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q1,
2,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q2,
2,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q3,
2,best_plus_trajectory_proto__absolute__c0.3_b0.2,S1,
2,best_plus_trajectory_proto__absolute__c0.3_b0.2,S2,
2,best_plus_trajectory_proto__absolute__c0.3_b0.2,S3,
2,best_plus_trajectory_proto__absolute__c0.3_b0.2,S4,
2,best_plus_event_rhythm__deviation__c0.3_b0.2,Q1,
2,best_plus_event_rhythm__deviation__c0.3_b0.2,Q2,
2,best_plus_event_rhythm__deviation__c0.3_b0.2,Q3,
2,best_plus_event_rhythm__deviation__c0.3_b0.2,S1,
2,best_plus_event_rhythm__deviation__c0.3_b0.2,S2,
2,best_plus_event_rhythm__deviation__c0.3_b0.2,S3,
2,best_plus_event_rhythm__deviation__c0.3_b0.2,S4,0.5932191569531264
3,td_trajectory__deviation__c0.03_b0.2,Q1,
3,td_trajectory__deviation__c0.03_b0.2,Q2,
3,td_trajectory__deviation__c0.03_b0.2,Q3,0.6570671287361819
3,td_trajectory__deviation__c0.03_b0.2,S1,
3,td_trajectory__deviation__c0.03_b0.2,S2,
3,td_trajectory__deviation__c0.03_b0.2,S3,
