atom_id,kind,row,targets,frac,gamma,bundle_score,roles,delta_route,delta_h098,delta_curv_marg,delta_badw,delta_badmax,delta_h088,delta_margin,h139_atom_score
anti1_r164_S4Q3_f0p6,anti1,164,"S4,Q3",0.6,1.0,0.523195053104395,locked_core_unwind,2.5425605667557917e-05,-1.2533425956858663e-06,8.962717730810494e-07,0.0,0.0,-0.0009549236829232213,0.0026268846318480976,0.05468999643989049
forward_r135_Q3S2_f0p25,forward,135,"Q3,S2",0.25,0.0,0.5013967321667722,,1.214284618050298e-06,-1.930239178026807e-06,6.787334096932697e-07,0.0,0.0,0.0004375591684223565,-0.0012495471609568765,-0.04554226871875069
anti025_r135_Q3S2_f0p25,anti025,135,"Q3,S2",0.25,0.25,0.5013967321667722,margin_repair,1.2222646885585563e-06,5.070953594044688e-07,3.1637623473931495e-08,0.0,0.0,-1.405318816690565e-05,6.835455442866234e-05,0.0007029284754245689
anti05_r135_Q3S2_f0p25,anti05,135,"Q3,S2",0.25,0.5,0.5013967321667722,,1.2535338555798563e-06,9.631423785048032e-07,-9.658267887454469e-08,0.0,0.0,1.1626337541377485e-05,3.4878046036190824e-05,-0.0005027710732939941
anti1_r135_Q3S2_f0p25,anti1,135,"Q3,S2",0.25,1.0,0.5013967321667722,,1.3161359522764673e-06,1.8752442688511634e-06,-3.9114082804971896e-07,0.0,0.0,0.00018365948473424848,-0.0003416045656608746,-0.014253362775411497
forward_r135_Q3S2_f0p5,forward,135,"Q3,S2",0.5,0.0,0.5013967321667722,,1.2329966998384304e-06,-3.604519566450669e-06,1.017595458442178e-06,0.0,0.0,0.0011412338170625966,-0.0032789794928381466,-0.11861044022409896
anti025_r135_Q3S2_f0p5,anti025,135,"Q3,S2",0.5,0.25,0.5013967321667722,,1.2547312835432811e-06,8.863971442531031e-07,-8.256738448357039e-08,0.0,0.0,4.149473460998698e-05,-1.5244033873262897e-05,-0.0017641675537296078
anti05_r135_Q3S2_f0p5,anti05,135,"Q3,S2",0.5,0.5,0.5013967321667722,,1.318520196589082e-06,1.721752493564631e-06,-3.5663980065903447e-07,0.0,0.0,0.00022335468213184606,-0.00039037726458460154,-0.015899762610843166
anti1_r135_Q3S2_f0p5,anti1,135,"Q3,S2",0.5,1.0,0.5013967321667722,,1.446321238456191e-06,3.392490680420297e-06,-1.0349959605724952e-06,0.0,0.0,0.0010060383439759665,-0.0022173204233769395,-0.08293143630116227
forward_r135_Q3S2_f0p6,forward,135,"Q3,S2",0.6,0.0,0.5013967321667722,,1.2264670485838403e-06,-2.6976658874995098e-06,6.940578169110662e-07,0.0,0.0,0.0010805707635308179,-0.0026409724404823365,-0.09563918269971268
anti025_r135_Q3S2_f0p6,anti025,135,"Q3,S2",0.6,0.25,0.5013967321667722,margin_repair,1.2192675474338634e-06,6.989580052517734e-07,-1.0553813393956307e-09,0.0,0.0,-9.547666443466413e-05,0.00021090145373131586,0.004435009126400072
anti05_r135_Q3S2_f0p6,anti05,135,"Q3,S2",0.6,0.5,0.5013967321667722,margin_repair,1.2475589599330369e-06,1.3468700575908037e-06,-1.7379597393846723e-07,0.0,0.0,-0.00011541211881297558,0.00022773270233103493,0.004505204957564973
anti1_r135_Q3S2_f0p6,anti1,135,"Q3,S2",0.6,1.0,0.5013967321667722,,1.3042637073963463e-06,2.6427091765897056e-06,-5.913271896931804e-07,0.0,0.0,7.67145711695616e-05,-0.000334100473333071,-0.014530328952537464
forward_r164_S1Q3_f0p25,forward,164,"S1,Q3",0.25,0.0,0.47042021864725203,,-1.685626782349102e-05,1.3293512755169212e-07,3.082005459549217e-07,0.0,0.0,0.0008695981510759843,-0.0025748585946785696,-0.09279062270026572
anti025_r164_S1Q3_f0p25,anti025,164,"S1,Q3",0.25,0.25,0.47042021864725203,locked_core_unwind,5.741032983036087e-06,-8.421989317758134e-08,2.1618798623328217e-07,0.0,0.0,-0.00015463574542368824,0.0004846343902918937,0.009412803123038256
