fold,source,target,loss
4,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S4,
4,db_prebed__deviation__c0.3_b0.2,Q1,
4,db_prebed__deviation__c0.3_b0.2,Q2,
4,db_prebed__deviation__c0.3_b0.2,Q3,
4,db_prebed__deviation__c0.3_b0.2,S1,
4,db_prebed__deviation__c0.3_b0.2,S2,
4,db_prebed__deviation__c0.3_b0.2,S3,
4,db_prebed__deviation__c0.3_b0.2,S4,
4,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q1,
4,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q2,
4,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q3,
4,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S1,
4,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S2,
4,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S3,
4,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S4,
4,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
4,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
4,routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
4,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,
4,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
4,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
4,routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,0.6853078320335503
4,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q1,
4,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q2,
4,routine_regularity__absolute_plus_deviation__c0.1_b0.2,Q3,
4,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S1,
4,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S2,
4,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S3,
4,routine_regularity__absolute_plus_deviation__c0.1_b0.2,S4,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q1,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q2,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,Q3,0.5983254796900989
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,S1,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,S2,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,S3,
4,best_plus_mobility_constriction__absolute__c0.1_b0.2,S4,
4,db_prebed__deviation__c0.1_b0.2,Q1,0.65950259672002
4,db_prebed__deviation__c0.1_b0.2,Q2,
4,db_prebed__deviation__c0.1_b0.2,Q3,
4,db_prebed__deviation__c0.1_b0.2,S1,
4,db_prebed__deviation__c0.1_b0.2,S2,
4,db_prebed__deviation__c0.1_b0.2,S3,
4,db_prebed__deviation__c0.1_b0.2,S4,
5,best__absolute_plus_deviation__c0.3_b0.2,Q1,
5,best__absolute_plus_deviation__c0.3_b0.2,Q2,
5,best__absolute_plus_deviation__c0.3_b0.2,Q3,
5,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5397817623823069
5,best__absolute_plus_deviation__c0.3_b0.2,S2,
5,best__absolute_plus_deviation__c0.3_b0.2,S3,0.5971601341789773
5,best__absolute_plus_deviation__c0.3_b0.2,S4,
5,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q1,
5,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q2,
5,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q3,
5,best_plus_mobility_constriction__deviation__c0.03_b0.2,S1,
5,best_plus_mobility_constriction__deviation__c0.03_b0.2,S2,
5,best_plus_mobility_constriction__deviation__c0.03_b0.2,S3,
5,best_plus_mobility_constriction__deviation__c0.03_b0.2,S4,
5,routine_regularity__deviation__c0.1_b0.2,Q1,
5,routine_regularity__deviation__c0.1_b0.2,Q2,
5,routine_regularity__deviation__c0.1_b0.2,Q3,
5,routine_regularity__deviation__c0.1_b0.2,S1,
5,routine_regularity__deviation__c0.1_b0.2,S2,
5,routine_regularity__deviation__c0.1_b0.2,S3,
5,routine_regularity__deviation__c0.1_b0.2,S4,0.6399714486284255
5,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q1,
5,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q2,
5,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q3,
5,best_plus_mobility_constriction__deviation__c0.1_b0.2,S1,
5,best_plus_mobility_constriction__deviation__c0.1_b0.2,S2,
5,best_plus_mobility_constriction__deviation__c0.1_b0.2,S3,
5,best_plus_mobility_constriction__deviation__c0.1_b0.2,S4,
5,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
5,ef_recovery_slope__deviation__c0.3_b0.2,Q2,0.6665024914644193
5,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
5,ef_recovery_slope__deviation__c0.3_b0.2,S1,
5,ef_recovery_slope__deviation__c0.3_b0.2,S2,
5,ef_recovery_slope__deviation__c0.3_b0.2,S3,
5,ef_recovery_slope__deviation__c0.3_b0.2,S4,
5,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q1,
5,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q2,
5,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q3,
5,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S1,
5,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S2,0.633520484856894
5,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S3,
5,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S4,
5,db_prebed__deviation__c0.3_b0.2,Q1,0.672603911894814
5,db_prebed__deviation__c0.3_b0.2,Q2,
5,db_prebed__deviation__c0.3_b0.2,Q3,
5,db_prebed__deviation__c0.3_b0.2,S1,
5,db_prebed__deviation__c0.3_b0.2,S2,
5,db_prebed__deviation__c0.3_b0.2,S3,
5,db_prebed__deviation__c0.3_b0.2,S4,
5,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q1,
5,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q2,
