held_fold,target,rank,source,source_family,selector_loss,held_loss
4,S2,1,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.5665537696170415,0.5796513981398063
4,S2,2,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.567153775365058,0.5726550172623995
4,S2,3,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,0.568430763290079,0.5742444283722486
4,S2,4,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.2,routine_digital,0.5693835146700975,0.5714425857780765
4,S2,5,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.1,routine_digital,0.5703148685374033,0.5776861689285755
4,S3,1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5312763392846667,0.5004959186528348
4,S3,2,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.5373677196999395,0.4975111809268724
4,S3,3,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.5379701287071885,0.5065468414787232
4,S3,4,best__deviation__c0.3_b0.2,best_late_fusion,0.5388224652022506,0.5090967003350885
4,S3,5,best__absolute_plus_deviation__c0.1_b0.1,best_late_fusion,0.5408078009331879,0.5005942695108844
4,S4,1,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6289560140307128,0.6792574295680657
4,S4,2,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.6294873816973381,0.6842394010395074
4,S4,3,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,0.6297841412450335,0.6865268099456232
4,S4,4,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.2,routine_digital,0.6309950656217354,0.6905495767759007
4,S4,5,best_plus_routine_digital__deviation__c0.1_b0.1,routine_digital,0.6323720350031996,0.6795252444983589
5,Q1,1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6612588795579718,0.6724764726602533
5,Q1,2,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6634601305818544,0.6791235983028241
5,Q1,3,best_plus_routine_digital__absolute__c0.1_b0.2,routine_digital,0.663848738020464,0.6744881424187722
5,Q1,4,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.6643464487849833,0.675244055722188
5,Q1,5,best_plus_routine_digital__absolute__c0.03_b0.1,routine_digital,0.6654798690338153,0.6723598018887681
5,Q2,1,best__absolute__c0.3_b0.2,best_late_fusion,0.695999452559501,0.6947820761817243
5,Q2,2,best__absolute__c0.1_b0.2,best_late_fusion,0.6962967906059764,0.6932685360896776
5,Q2,3,best__absolute__c0.03_b0.2,best_late_fusion,0.6972435883222862,0.6911897963602505
5,Q2,4,best__deviation__c0.03_b0.2,best_late_fusion,0.6986612377384775,0.6877360970865243
5,Q2,5,best__deviation__c0.1_b0.2,best_late_fusion,0.6989758798884198,0.6923881183639361
5,Q3,1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.662593536993061,0.6961160547281168
5,Q3,2,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6637969340881635,0.6945217962065566
5,Q3,3,best__deviation__c0.3_b0.2,best_late_fusion,0.6642891816434913,0.6965234510079655
5,Q3,4,best_plus_routine_digital__absolute__c0.03_b0.1,routine_digital,0.6645887135827462,0.70144244407601
5,Q3,5,best_plus_routine_digital__deviation__c0.03_b0.1,routine_digital,0.6650817735412653,0.7005787199065997
5,S1,1,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.5698065757801862,0.5544850626943053
5,S1,2,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.2,routine_digital,0.5698279310039782,0.5579538292211923
5,S1,3,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.5698618852979171,0.5582893157380187
5,S1,4,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,0.5703951882657691,0.5622953252025479
5,S1,5,best_plus_routine_digital__absolute__c0.3_b0.2,routine_digital,0.5709435871718143,0.5551424068275945
5,S2,1,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,0.54872745789342,0.6530576499588849
5,S2,2,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.5490289483718923,0.6451543252350619
5,S2,3,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.5496060179850144,0.6474424046679151
5,S2,4,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.2,routine_digital,0.5505876333922672,0.6466261108893974
5,S2,5,best_plus_routine_digital__deviation__c0.3_b0.2,routine_digital,0.5510761788426555,0.6551079271495337
5,S3,1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.507110285403131,0.5971601341789773
5,S3,2,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.5116443348781692,0.6004047202139533
5,S3,3,best__absolute_plus_deviation__c0.1_b0.2,best_late_fusion,0.514016175107473,0.6023626558775851
5,S3,4,best__absolute_plus_deviation__c0.3_b0.05,best_late_fusion,0.5146268442278982,0.6027633025069161
5,S3,5,best__absolute_plus_deviation__c0.1_b0.1,best_late_fusion,0.5151527557829931,0.6032144501116633
5,S4,1,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6407159991850727,0.6322174889506258
5,S4,2,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,0.6416900116368663,0.6389033283782917
5,S4,3,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.6419215584341288,0.6345026940923447
5,S4,4,best_plus_routine_digital__deviation__c0.1_b0.1,routine_digital,0.642590059879311,0.6386531449939135
5,S4,5,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.1,routine_digital,0.6427321905055797,0.6404755186052566
