cells,rows,mean_mixture_score,mean_agreement_score,mean_conflict_score,mean_mode_confidence,mean_action_health,sum_predicted_scalar_delta,sum_predicted_bad_delta,sum_predicted_residual_delta,sum_predicted_total_mode_delta,mean_energy_delta,mean_subject_delta,supported_rate,bad_tangent_cosine,variant
12.0,12.0,0.7068035511606748,1.0,0.07135443053650305,0.5082054510088165,0.5149957715852671,-1.766968569351594,-0.33840950567826117,-0.2232108284007016,-0.5616203340789627,0.0060279407298153564,0.001273148614310391,0.75,-0.0059656620927073635,mixture_consensus_jackpot
12.0,12.0,0.7068486532080667,1.0,0.06711939248347164,0.5455280457255085,0.5219958188909918,-2.29500974343503,-0.3767328374190495,-0.1970480321909574,-0.573780869610007,0.00665285878309894,0.0012331528225762798,0.8333333333333334,-0.007596025431808033,mixture_consensus_jackpot
12.0,12.0,0.7150600256451018,1.0,0.054498453247431466,0.5692247156658609,0.5370791825560902,-1.8111305420254185,-0.40505896518657497,-0.17676697722289147,-0.5818259424094664,0.00043745488488478035,0.0004970584321764476,0.75,-0.007510723795538745,mixture_consensus_jackpot
12.0,11.0,0.698775466873533,1.0,0.05090783535337414,0.5389363359965403,0.49458350716381866,-1.5907827005205017,-0.3663330182394136,-0.13372140700282448,-0.5000544252422382,0.0008879375666391761,0.000847231944121586,0.8333333333333334,-0.007380396016111341,mixture_consensus_jackpot
12.0,11.0,0.723122442409667,1.0,0.06561948247521242,0.523898313663943,0.5339342308765641,-2.0844788902849842,-0.38207088045235876,-0.2328536451363033,-0.6149245255886621,-0.000988444665183071,0.000255559315830374,0.75,-0.006345068266824011,mixture_consensus_jackpot
12.0,11.0,0.700925192737602,1.0,0.06462454555130238,0.5289994432978731,0.5157575975128401,-1.8902631280712554,-0.36217571712365726,-0.20242798189094954,-0.5646036990146066,0.0027359585223964513,0.0004535693402604162,0.75,-0.006545550712019499,mixture_consensus_jackpot
12.0,12.0,0.7058454254937634,1.0,0.063874057499986,0.5293044924970832,0.50949543385472,-2.520631674052906,-0.3748629043598536,-0.17864158631424465,-0.5535044906740983,0.008791565446215418,0.001691838147021082,0.9166666666666666,-0.007739731323437748,mixture_consensus_jackpot
12.0,12.0,0.7151355649723676,1.0,0.06815144913338514,0.5410808370327189,0.5378639006470163,-2.5135018249264824,-0.3786611038925867,-0.22909292781563195,-0.6077540317082187,0.007326066168091209,0.0007613129623728556,0.8333333333333334,-0.00740088257876835,mixture_consensus_jackpot
12.0,11.0,0.7132674926565025,1.0,0.06756517847716757,0.5044637982650834,0.5257374315008695,-2.0395727341008207,-0.3750190813641115,-0.2297524049703088,-0.6047714863344203,0.0011741261806578474,0.000892036369603982,0.75,-0.006173109817178051,mixture_consensus_jackpot
12.0,12.0,0.7151266772570852,1.0,0.07011013165445226,0.5156913587643742,0.5317345658303172,-2.017225104682116,-0.38659808159567605,-0.22901110277433634,-0.6156091843700124,0.008347885976705846,0.001098607863812106,0.75,-0.005952930055269744,mixture_consensus_jackpot
