q_source,row_prior,subset_size,label_mode,particles,best_mae,median_mae,best_spearman,lofo_mae,lofo_max_abs
h041_route_public_q,h048_core_tail_prior,125,temperature_sample,7,0.0010075963317567353,0.0019507882532705304,0.7052631578937655,0.0010215279727199072,0.0034431533678886145
h012,h041_public_route,75,temperature_sample,7,0.0005802599947270623,0.003921240567097699,0.8812030075175834,0.001024886206405729,0.003659780489117151
h048_q2_support_phase_q,h048_core_tail_prior,155,sample,10,0.0006050415353180497,0.002006722650833947,0.94135338345735,0.0010254875223151304,0.00164266791827972
h041_route_private_tempered_q,h048_support_identity,75,sample,10,0.0018051761616001288,0.003566998682759023,0.8105263157883574,0.0010263171494996753,0.005972901545139491
posterior_vector_mid,h048_support_public_not_private,59,sample,10,0.0019012904667861368,0.0033443706345337456,0.753383458645579,0.0010270337456284838,0.004456255583218784
h012posterior,h048_public_core_tail,125,temperature_sample,7,0.0007365353977855202,0.0029922932966430357,0.9112781954874666,0.0010284330047117278,0.0031814382392863173
h012posterior,h041_public_not_private,59,temperature_sample,7,0.001230711848453594,0.0027518847679241657,0.6511278195479754,0.0010292195197259973,0.0036466843193409676
h048_q2_public_soft_q,h048_public_core_tail,75,temperature_sample,7,0.0018910582169810064,0.005979971750558315,0.7834586466154624,0.0010307679454809138,0.0075144882327990116
h041_route_public_q,h041_memory_disagree_public,59,temperature_sample,7,0.0013939185389087259,0.0030484206740987634,0.6616541353374347,0.001031988672668547,0.005774359567307945
h048_q2_public_soft_q,h041_memory_disagree_public,45,sample,10,0.002025903753005688,0.003479245902818734,0.9052631578934901,0.001032642287715543,0.003430861720982739
h048_q2_support_phase_q,h041_public_route,125,temperature_sample,7,0.0016152039226715459,0.0052253543592377045,0.7939849624049214,0.0010336996355509802,0.0030179157548782852
h048_q2_public_soft_q,h041_public_not_private,95,temperature_sample,7,0.0006626950457580565,0.004485651329497454,0.9338345864648792,0.0010337665609432209,0.002131427764403204
h041_route_public_q,h048_support_identity_sharp,95,temperature_sample,7,0.0007544951504018665,0.002962580078390513,0.8466165413522176,0.0010354414278396164,0.002473755366186735
h012posterior,h048_support_identity,95,sample,10,0.0011079021455450897,0.002911077261953207,0.9383458646603617,0.0010398970074974106,0.0027655981579066697
h041_route_private_tempered_q,h041_public_route,125,sample,10,0.0007825385182759003,0.0023192729858942966,0.9127819548859607,0.0010411602419585775,0.003483166832610177
h041_route_private_tempered_q,h048_support_identity,125,sample,10,0.0010299784736208714,0.0024182405559494066,0.9067669172919842,0.0010462478314556788,0.0035952928954806956
h041_route_private_tempered_q,h048_support_q2regime,75,temperature_sample,7,0.002364218876418565,0.00523052162251752,0.6812030075178587,0.0010472686985216694,0.005473795007061508
h048_q2_public_soft_q,h048_support_identity_sharp,125,sample,10,0.0008428153281602998,0.00222812267891562,0.9203007518784317,0.0010478696136673137,0.0032750935072327564
