particle,q_source,row_prior,subset_size,label_mode,mae,rmse,max_abs,spearman,mean_pred_delta,std_pred_delta
6361,h041_route_private_tempered_q,h041_public_route,95,sample,0.005062259383241728,0.005309659628642392,0.009778343698893213,0.5924812030067028,0.004318656061758227,0.001005730918115198
3065,h012posterior,h048_public_core_tail,190,sample,0.00506399297071865,0.005223143251984782,0.006270597419725587,0.6631578947359288,0.014444908415718605,0.001389445545482827
5344,h041_route_public_q,h048_support_identity_sharp,59,sample,0.005065373385290203,0.005425705510844985,0.010551445926981453,0.47819548872114576,0.004322193884910039,0.0018748345334890686
9013,h048_q2_support_phase_q,h048_core_tail_prior,75,temperature_sample,0.00506634252973368,0.005273225805795065,0.008774739146447101,0.5488721804503718,0.004314572915266274,0.0013879788239431
3371,posterior_vector_mid,h041_public_not_private,45,temperature_sample,0.005066956965977607,0.005220048631534666,0.006619658779197252,0.8240601503748046,0.0043139584790223475,0.0025266109776335187
6695,h041_route_private_tempered_q,h041_memory_disagree_public,155,temperature_sample,0.005067270351675109,0.005201623425287467,0.008890930075597655,0.41654135338288495,0.004313645093324845,0.0014536223151263062
1988,h012posterior,h041_memory_disagree_public,59,sample,0.005067630269893101,0.005231598353319158,0.007402698963998738,0.7729323308260031,0.014403602875296576,0.0023727875227876473
9512,h048_q2_coretail_q,h041_public_route,190,temperature_sample,0.00507267048708975,0.00512473595896404,0.006706183045702456,0.8481203007507117,0.0043082449579102036,0.0014257370211923776
364,h012,h041_public_not_private,125,sample,0.00507296072585923,0.005170670845149019,0.007355182369870001,0.7669172932320264,0.004307954719140724,0.0019256473055762119
260,h012,h041_public_route,190,sample,0.005073807753115509,0.005091864303509916,0.005841992909660772,0.8631578947356533,0.0043071076918844466,0.0015979242232493761
6566,h041_route_private_tempered_q,h041_public_not_private,190,sample,0.005076278165581761,0.005408418797356238,0.01043937414402528,0.2646616541349739,0.0043046372794181935,0.0012637011073506333
3833,posterior_vector_mid,h048_support_identity_sharp,75,temperature_sample,0.0050764551887341,0.005209212946953041,0.007625169333415893,0.532330827066936,0.004304460256265854,0.0018331295470605411
11168,h048_q2_public_soft_q,h041_public_not_private,155,sample,0.005077973045045259,0.005183491193451685,0.007249984620457227,0.8646616541341474,0.004302942399954696,0.0016315751824970458
11511,h048_q2_public_soft_q,h048_support_identity_sharp,59,temperature_sample,0.005078721179290433,0.005238033924517962,0.008491825549573465,0.5353383458639245,0.004302194265709521,0.00184825467797518
6296,h041_route_private_tempered_q,uniform,190,temperature_sample,0.005079577625777171,0.005227464215672582,0.007954176480420265,0.8556390977431821,0.004301337819222784,0.0015657368858485506
55,h012,uniform,75,temperature_sample,0.005079685734089019,0.005185642313724046,0.006392885379193337,0.8511278195476999,0.004538515497373936,0.0027012986782309002
1684,h012posterior,h041_public_route,45,sample,0.005080518362458023,0.005962827403113471,0.016712102470150345,0.4225563909768616,0.004300397082541931,0.0035961737532548394
822,h012,h048_support_identity_sharp,190,sample,0.005080838790602159,0.005167611535919522,0.006883086820479962,0.8345864661642639,0.004300076654397795,0.0018705412035956634
6996,h041_route_private_tempered_q,h048_support_identity_sharp,190,temperature_sample,0.0050816130157110674,0.0052938405355234,0.009449898328256105,0.46165413533771005,0.004299302429288887,0.0017134011087920438
3966,posterior_vector_mid,h048_support_public,75,sample,0.005083618881573262,0.005170659098071404,0.00717488076572283,0.8406015037582408,0.004297296563426692,0.0015947467249507801
631,h012,h048_support_identity,95,temperature_sample,0.005083832476418811,0.005309236711018658,0.007598338468653305,0.6857142857133413,0.004382452012957781,0.002781490389937798
4699,h041_route_public_q,uniform,95,map,0.0050853655065564,0.006731889354239853,0.01828669150928645,0.3503759398491415,0.014466280951556354,0.005267979073803118
8315,h048_q2_support_phase_q,h048_support_identity,75,temperature_sample,0.0050866179814362715,0.005391968608500468,0.010003688208451825,0.2917293233078688,0.004294297463563683,0.0012801237271514994
2632,h012posterior,h048_support_public_not_private,155,temperature_sample,0.00508765041847005,0.005470998071948935,0.010882545576136469,0.10526315789459184,0.004293265026529904,0.001400205875141544
2121,h012posterior,h048_support_identity,59,sample,0.0050893239586621885,0.005320271246442428,0.0073434525229176765,0.8481203007507115,0.004581995066537397,0.0030654428972789224
5601,h041_route_public_q,h048_support_public_not_private,45,sample,0.005089819363365893,0.0053842523830497455,0.010349707614999568,0.2360902255635846,0.004291096081634062,0.0016571001600581758
1116,h012,h048_support_public_not_private,190,temperature_sample,0.005091819053032421,0.0052405776976986946,0.0069515524967824795,0.6150375939841154,0.004289096391967532,0.0017664649006461015
920,h012,h048_support_public,125,sample,0.005092310229555344,0.005180478047796946,0.006736181292039286,0.8270676691717933,0.004288605215444609,0.0017024508183287996
9668,h048_q2_coretail_q,h041_memory_disagree_public,45,sample,0.005095899757148815,0.005390583315985916,0.009705280065764273,0.4947368421045817,0.014097894576730899,0.003321784575322855
