rowposterior_delta_vs_h012,uniform_row_delta_vs_h012,rowposterior_beats_rate,rowposterior_p90_row_delta,candidate_id,mode,target_subset,row_k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h018,max_abs_prob_delta_vs_h018,h018_rowposterior_delta_vs_h012,h018_uniform_row_delta_vs_h012,h019_decision,decision_rank,file
-0.00044424813008646667,-0.0004124346282514625,0.792,0.0,gain_all_r180_a0.55,gain,all,180,0.55,180,1260,0.004941913282258608,0.06558874566176454,0.006284506867986841,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r180_a0.55_c14ecd37.csv
-0.00044395454353388493,-0.00040149975950187636,0.608,7.93016446160826e-18,gain_all_r125_a0.75,gain,all,125,0.75,125,875,0.004922654275820706,0.08739248873299255,0.006303765874424744,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
-0.00043639775432175067,-0.0003987202071612472,0.776,0.0,row_score_all_r180_a0.55,row_score,all,180,0.55,180,1260,0.004750019695562643,0.06558874566176454,0.006476400454682805,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
-0.0004322544262838391,-0.0003780103866436632,0.608,0.0,inclusion_all_r125_a1,inclusion,all,125,1.0,125,875,0.005983646090444639,0.11298815705193355,0.005242774059800818,0.035135830436207105,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
-0.0004322544262838391,-0.0003780103866436632,0.608,0.0,lift_all_r125_a1,lift,all,125,1.0,125,875,0.005983646090444639,0.11298815705193355,0.005242774059800818,0.035135830436207105,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
-0.0004311810714496978,-0.00038208813682232923,0.6,0.0,row_score_all_r125_a1.25,row_score,all,125,1.25,125,875,0.007804125537959077,0.13669790015525174,0.006478963289455024,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
-0.0004305409844562796,-0.0003815615767717506,0.6,0.0,row_score_all_r125_a0.75,row_score,all,125,0.75,125,875,0.0047323336046536345,0.08739248873299255,0.006494086545591815,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
-0.00042470670663707357,-0.0003782990350622517,0.54,7.93016446160826e-18,gain_all_r100_a1,gain,all,100,1.0,100,700,0.005371090335732396,0.11298815705193355,0.005855329814513061,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
-0.00042148466185094343,-0.0003817804451904485,0.764,0.0,inclusion_all_r180_a0.55,inclusion,all,180,0.55,180,1260,0.004665856383858102,0.06558874566176454,0.006560563766387345,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
-0.00042148466185094343,-0.0003817804451904485,0.764,0.0,lift_all_r180_a0.55,lift,all,180,0.55,180,1260,0.004665856383858102,0.06558874566176454,0.006560563766387345,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,not_materialized
