kind,raw,bc,raw_weight,bc_weight,oof_loss,oof_delta_vs_stage2,jepa_bad_ratio,jepa_bad_cos,raw_good_ratio,raw_good_cos,public_safety_rank
global,raw05,bc_noq2_05,0.75,1.0,0.5614193697906569,-0.006111554899160265,-0.015377597237339972,-0.017930002217757944,0.866521586230448,0.4422894815766607,-0.006751554899160265
global,raw075,bc_noq2_10,0.5,0.5,0.5613688781893801,-0.006162046500437057,-0.012670525482849408,-0.019927236947055574,0.7287327380183204,0.5017138642523661,-0.006745032690851713
global,raw10,bc_noq2_035,1.0,1.0,0.5614265403549303,-0.006104384334886803,-0.012963602014785835,-0.014584200512942588,1.5337615514844234,0.7553533286812979,-0.006744384334886803
global,raw075,bc_noq2_05,0.5,1.0,0.5614161909469894,-0.006114733742827783,-0.01757115150092331,-0.020968869229177685,0.7623691406760915,0.39826804317156494,-0.006724629055368656
global,raw075,bc_noq2_035,1.25,1.0,0.5614787917628585,-0.006052132926958609,-0.00748155567001521,-0.007910984478674362,1.702545730279278,0.788084471485,-0.006692132926958609
global,raw10,bc_noq2_075,0.75,0.5,0.5614844295515611,-0.006046495138256058,-0.01162212965057638,-0.016371616390425007,1.159585846612196,0.7150626824255322,-0.006686495138256058
global,raw075,bc_noq2_075,1.0,0.5,0.5614894144698036,-0.006041510220013535,-0.0070942181662518285,-0.009127550848503028,1.3669049250140417,0.7698806299850487,-0.006681510220013535
global,raw10,bc_strict_035,0.75,1.0,0.5614276486744243,-0.0061032760153928445,0.011095018312515388,0.014167192232791231,1.1723028746546102,0.6552861021059202,-0.006676705905517752
global,raw10,bc_noq2_05,0.75,0.75,0.5614987961828658,-0.00603212850695134,-0.013542507852550206,-0.017560710830328754,1.171767220162277,0.6651501659189205,-0.00667212850695134
global,raw075,bc_noq2_05,1.0,0.75,0.5615039336347036,-0.006026991055113506,-0.009014596368225568,-0.010803131560381717,1.3790862985641226,0.7234860916366722,-0.006666991055113506
global,raw05,bc_noq2_075,0.5,0.75,0.56135836168774,-0.006172563002077136,-0.016951323287593627,-0.021413486932299938,0.6128147241841327,0.33888187512607576,-0.006662814781424442
global,raw075,bc_strict_035,1.0,1.0,0.5614328952975788,-0.006098029392238358,0.01562292979683996,0.018476659540740285,1.3796219530564557,0.7142601741308359,-0.006644291813457318
global,raw05,bc_strict_05,1.25,0.75,0.5614518764779127,-0.006079048211904414,0.01998148702061798,0.024101533282315683,1.3373911896728365,0.7061723170676142,-0.006599159289780707
global,raw05,bc_strict_075,1.25,0.5,0.5614453507495583,-0.0060855739402588815,0.021995188114083672,0.028555214553969165,1.325209816122756,0.7531435392589385,-0.006593602811574379
global,raw05,bc_noq2_10,0.0,0.75,0.5611146628350053,-0.006416261854811811,-0.02400230893323452,-0.029023523668819492,0.1243277753590158,0.06581132627519126,-0.006515724075099024
global,raw075,bc_noq2_10,0.0,0.75,0.5611146628350053,-0.006416261854811811,-0.02400230893323452,-0.029023523668819492,0.1243277753590158,0.06581132627519126,-0.006515724075099024
global,raw10,bc_noq2_10,0.0,0.75,0.5611146628350053,-0.006416261854811811,-0.02400230893323452,-0.029023523668819492,0.1243277753590158,0.06581132627519126,-0.006515724075099024
global,raw05,bc_noq2_075,0.0,1.0,0.5611543946822156,-0.006376530007601522,-0.027512491556397803,-0.02764468353309822,0.15041963224551086,0.06616397466606617,-0.00649686571339793
global,raw075,bc_noq2_075,0.0,1.0,0.5611543946822156,-0.006376530007601522,-0.027512491556397803,-0.02764468353309822,0.15041963224551086,0.06616397466606617,-0.00649686571339793
global,raw10,bc_noq2_075,0.0,1.0,0.5611543946822156,-0.006376530007601522,-0.027512491556397803,-0.02764468353309822,0.15041963224551086,0.06616397466606617,-0.00649686571339793
global,raw075,bc_strict_05,0.75,0.75,0.5615848376319733,-0.00594608705784383,0.01577039428031637,0.021121147073278612,1.0561625213413008,0.6192144254160444,-0.006491464692161932
global,raw075,bc_strict_075,0.75,0.5,0.5615783673622227,-0.0059525573275944765,0.017784095373782203,0.026075200729365613,1.0439811477912198,0.6700757507188874,-0.006485852755351783
global,raw10,bc_noq2_035,0.75,1.0,0.5617049409683318,-0.0058259837214853505,-0.013674974057326685,-0.017623045116555672,1.1723028746546102,0.6613473773571334,-0.00646598372148535
global,raw075,bc_noq2_035,1.0,1.0,0.5617101875914863,-0.005820737098330864,-0.009147062573002119,-0.010903561430988393,1.3796219530564557,0.7199165952993876,-0.006460737098330864
global,raw05,bc_strict_05,0.5,1.0,0.561465064929842,-0.00606585975997509,0.018048210141512862,0.021800047732372763,0.6165215862304483,0.32599201052406795,-0.006450787768110372
global,raw05,bc_noq2_075,1.25,0.5,0.5617244878613957,-0.005806436828421413,-0.0045486323289370845,-0.005956885014460137,1.325209816122756,0.759728452055999,-0.006446436828421413
