context_variant,semantic_family,semantic_k,coarse_family,coarse_k,mode,folds,semantic_logloss,semantic_acc,oracle_rate_r2,pred_rate_r2,pred_rate_rmse,pred_rate_cos,two_level_score
prior_all,label_rate,8,hybrid_raw,4,coarse_prob_only,4,1.9601527452950531,0.23878968253968252,0.3338681877355345,-0.09857450220360095,0.331974133849144,0.9013094305992126,-0.07266698529251654
prior_raw,label_rate,8,hybrid_raw,4,coarse_prob_only,4,1.9635092199000548,0.23878968253968252,0.3338681877355345,-0.09933774197047857,0.33210791647434235,0.9011700451374054,-0.07318439502944754
full_strict,label_rate,10,raw_mean,8,coarse_prob_only,4,2.040768568825701,0.24345238095238095,0.3471184888183474,0.02099312760709296,0.3135761618614197,0.9091924279928207,-0.07342800584738217
future_label,label_rate,8,teacher_hybrid,10,context_plus_true_coarse_train,4,2.145145806366102,0.3682539682539682,0.3338681877355345,-0.03938320561794367,0.32228953391313553,0.900804415345192,-0.07457358883571887
future_label,label_rate,8,raw_mean,8,context_plus_true_coarse_train,4,2.111013891836871,0.339484126984127,0.3338681877355345,-0.006841290893771279,0.3178815171122551,0.9026074856519699,-0.07502746287962458
prior_label,label_rate,10,none,0,direct_semantic,4,2.1932269722860003,0.3814484126984127,0.3471184888183474,-0.03305652468311204,0.32170041650533676,0.9057217240333557,-0.07534256869529506
past_label,label_rate,8,teacher_hybrid,10,context_plus_coarse_prob,4,2.0614498895966697,0.298015873015873,0.3338681877355345,-0.06438835652011957,0.325810469686985,0.9037864655256271,-0.0757686153498795
bidir_label,label_rate,8,hybrid_raw,4,context_plus_coarse_prob,4,2.1114781558337183,0.3290674603174603,0.3338681877355345,0.000885628031625757,0.3163921386003494,0.9096555709838867,-0.07620993886980564
past_label,label_rate,10,none,0,direct_semantic,4,2.166988669476521,0.329265873015873,0.3471184888183474,0.01566728792393776,0.3137366250157356,0.9102663546800613,-0.07668868176852918
past_label,label_rate,10,raw_mean,4,context_plus_true_coarse_train,4,2.2045239910688377,0.3530753968253968,0.3471184888183474,0.017371965038872644,0.31342044472694397,0.9105748534202576,-0.07701482223697184
bidir_label,label_rate,8,raw_mean,8,coarse_prob_only,4,1.9864234749984966,0.2357142857142857,0.3338681877355345,-0.03950419985078163,0.3234125077724457,0.9015038460493088,-0.07720323256810283
bidir_label,label_rate,8,raw_mean,8,context_plus_true_coarse_train,4,2.1050589206450065,0.308234126984127,0.3338681877355345,0.007018136175460765,0.31551796942949295,0.9084009975194931,-0.07769942516145442
past_label,label_rate,10,raw_mean,8,context_plus_true_coarse_train,4,2.1950686520285525,0.32787698412698413,0.3471184888183474,0.026047387068996397,0.31198976933956146,0.9123803824186325,-0.07785302441173698
prior_label,label_rate,10,raw_mean,8,coarse_prob_only,4,2.070632420224544,0.2740079365079365,0.3471184888183474,-0.027859260957385085,0.3215237110853195,0.9048464745283127,-0.07852900607467614
past_label,label_rate,10,hybrid_raw,4,context_plus_true_coarse_train,4,2.1965736419380386,0.3257936507936508,0.3471184888183474,0.02231629072331337,0.3125368058681488,0.9117174744606018,-0.07968105926433455
prior_label,label_rate,8,hybrid_raw,4,coarse_prob_only,4,1.9443654335850509,0.18521825396825398,0.3338681877355345,-0.10203688229926416,0.33242693543434143,0.9008236825466156,-0.08106174905556165
past_label,label_rate,10,raw_mean,4,context_plus_coarse_prob,4,2.224146766290784,0.3530753968253968,0.3471184888183474,0.011424552217944584,0.3142741322517395,0.9110238701105118,-0.08169756069751681
prior_label,label_rate,10,hybrid_raw,4,context_plus_true_coarse_train,4,2.2196921192337773,0.36468253968253966,0.3471184888183474,-0.022508076056180132,0.32006675750017166,0.9066198319196701,-0.08257570455200476
past_label,label_rate,10,raw_mean,8,context_plus_coarse_prob,4,2.219389139876258,0.34037698412698414,0.3471184888183474,0.007918620894136585,0.3150079920887947,0.9112309664487839,-0.0845546690383357
past_label,label_rate,10,raw_mean,8,coarse_prob_only,4,2.051394148780281,0.20148809523809524,0.3471184888183474,0.006483922383827168,0.3160736635327339,0.9082439094781876,-0.08786231340186935
prior_label,label_rate,10,raw_mean,4,context_plus_coarse_prob,4,2.2062007769828638,0.32787698412698413,0.3471184888183474,-0.03347417485678919,0.3218107596039772,0.9069551974534988,-0.08787957777209598
future_label,label_rate,10,none,0,direct_semantic,4,2.2252124749107076,0.341765873015873,0.3471184888183474,-0.029241769960782288,0.3209996521472931,0.9065300077199936,-0.08799607365684531
future_label,label_rate,10,raw_mean,4,context_plus_true_coarse_train,4,2.2562132624882962,0.36408730158730157,0.3471184888183474,-0.029862823841696584,0.32103586941957474,0.9069863706827164,-0.0881362697829256
prior_label,label_rate,10,raw_mean,8,context_plus_coarse_prob,4,2.252832769160643,0.35912698412698413,0.3471184888183474,-0.02958227404904787,0.321287639439106,0.9050420522689819,-0.08881569111721452
prior_raw,label_rate,10,raw_mean,8,coarse_prob_only,4,2.135721659292349,0.26845238095238094,0.3471184888183474,-0.015370062892643865,0.31953202933073044,0.908073902130127,-0.0890807602857766
prior_all,label_rate,10,raw_mean,8,coarse_prob_only,4,2.136509794293631,0.26845238095238094,0.3471184888183474,-0.015112965825879843,0.31948988139629364,0.9080856591463089,-0.08919780483435073
future_label,label_rate,8,raw_mean,8,context_plus_coarse_prob,4,2.2524951231703345,0.3771825396825397,0.3338681877355345,-0.02430743536461255,0.3205220177769661,0.8976073712110519,-0.08920997648405342
future_label,label_rate,10,raw_mean,4,context_plus_coarse_prob,4,2.2484713054228864,0.35218253968253965,0.3471184888183474,-0.04089981069601836,0.32258105278015137,0.9065992683172226,-0.0893946388406159
past_label,label_rate,10,teacher_hybrid,10,coarse_prob_only,4,2.211830354758866,0.3219246031746032,0.3471184888183474,-0.03912923811669053,0.32233650982379913,0.9098400175571442,-0.08962600861860798
prior_label,label_rate,10,raw_mean,4,context_plus_true_coarse_train,4,2.2216773454440566,0.32787698412698413,0.3471184888183474,-0.01881369898778462,0.31956319510936737,0.9071730226278305,-0.09017928052384173
prior_label,label_rate,10,raw_mean,4,coarse_prob_only,4,2.0626672821851697,0.20724206349206348,0.3471184888183474,-0.0283866142748255,0.3205960765480995,0.908465638756752,-0.09032549354910067
bidir_label,label_rate,8,teacher_hybrid,10,context_plus_true_coarse_train,4,2.195562552103558,0.3222222222222222,0.3338681877355345,-0.021913682299232407,0.3198043629527092,0.9067168533802032,-0.09075120609918533
future_label,label_rate,10,hybrid_raw,4,context_plus_true_coarse_train,4,2.265655825795719,0.35625,0.3471184888183474,-0.02053378283211682,0.3196992948651314,0.9073137044906616,-0.09108738121570482
future_label,label_rate,8,raw_mean,8,coarse_prob_only,4,2.0222789250821815,0.19047619047619047,0.3338681877355345,-0.022568001250541175,0.3207886517047882,0.9025683701038361,-0.09152271672282189
past_label,label_rate,10,raw_mean,4,coarse_prob_only,4,2.122394698948971,0.24494047619047618,0.3471184888183474,-0.009135624848797652,0.3174467384815216,0.9100725501775742,-0.09158423238190613
prior_raw,label_state,8,hybrid_raw,4,coarse_prob_only,4,1.8941753488327964,0.28829365079365077,0.1768665574972855,-0.1114609471806644,0.33384764939546585,0.8989350646734238,-0.0923574263245255
prior_all,label_state,8,hybrid_raw,4,coarse_prob_only,4,1.8948113138438893,0.28829365079365077,0.1768665574972855,-0.11175335163991845,0.33390554040670395,0.8989193290472031,-0.09245439463881155
future_label,label_rate,10,raw_mean,8,context_plus_true_coarse_train,4,2.2762327832086493,0.35218253968253965,0.3471184888183474,-0.024533786481485742,0.31998904794454575,0.907026544213295,-0.0935161329188731
future_label,label_rate,10,raw_mean,8,context_plus_coarse_prob,4,2.2618261345605406,0.34325396825396826,0.3471184888183474,-0.04484804304746859,0.32284893095493317,0.9031717479228973,-0.09352632953641085
prior_label,label_rate,10,teacher_hybrid,10,coarse_prob_only,4,2.2123236001259095,0.29603174603174603,0.3471184888183474,-0.08732614946985523,0.32975777238607407,0.9049878269433975,-0.09536378591361061
prior_label,label_rate,10,raw_mean,8,context_plus_true_coarse_train,4,2.2449976979419506,0.31746031746031744,0.3471184888183474,-0.014081589135026606,0.31866973638534546,0.9083254486322403,-0.09564542413141822
bidir_label,label_rate,10,raw_mean,4,coarse_prob_only,4,2.105360416843281,0.20863095238095236,0.3471184888183474,-0.012044865491870393,0.3178817927837372,0.910148948431015,-0.0962833550026133
past_label,label_rate,10,hybrid_raw,4,context_plus_coarse_prob,4,2.271052774252699,0.3014880952380952,0.3471184888183474,0.020027570287671465,0.3129342570900917,0.9118174761533737,-0.09639065618406012
bidir_label,label_rate,10,teacher_hybrid,10,coarse_prob_only,4,2.155436587189717,0.24365079365079365,0.3471184888183474,-0.04866637747298597,0.3240785300731659,0.9074594378471375,-0.09705976335899823
full_strict,label_rate,10,teacher_hybrid,10,coarse_prob_only,4,2.1424906479096046,0.23095238095238096,0.3471184888183474,-0.04142540420207155,0.32275208085775375,0.9063821136951447,-0.09776528742186319
