config,graph,smooth_weight,prior_weight,label_weight,group,scale,covered_rows,base_loss,oof_loss,oof_delta_vs_stage2
gk6_t1_sw0p5_pw0p25_lw20,gk6_t1,0.5,0.25,20.0,all,0.15,287,0.5675309246898171,0.5672382756677413,-0.00029264902207581933
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,stage,0.75,287,0.5675309246898171,0.5672385612076947,-0.00029236348212247076
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,stage,0.75,287,0.5675309246898171,0.567239206200909,-0.0002917184889081881
gk6_t1_sw1_pw0p75_lw8,gk6_t1,1.0,0.75,8.0,all,0.15,287,0.5675309246898171,0.5672436897391601,-0.00028723495065707816
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,no_q2,0.15,287,0.5675309246898171,0.5672437679430559,-0.00028715674676127456
gk6_t1_sw0p5_pw0p25_lw20,gk6_t1,0.5,0.25,20.0,no_q2,0.15,287,0.5675309246898171,0.5672442352144964,-0.00028668947532073386
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,stage,0.35,287,0.5675309246898171,0.5672444737188164,-0.00028645097100077344
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,all,0.15,287,0.5675309246898171,0.567251493036747,-0.00027943165307009465
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,stage,0.25,287,0.5675309246898171,0.5672522671124529,-0.00027865757736422747
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,no_q2,0.35,287,0.5675309246898171,0.5672547340056017,-0.00027619068421547155
gk6_t1_sw0p25_pw0p25_lw20,gk6_t1,0.25,0.25,20.0,stage,0.35,287,0.5675309246898171,0.5672564572060391,-0.0002744674837780181
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,no_q2,0.15,287,0.5675309246898171,0.5672592160673369,-0.00027170862248027117
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,stage,0.5,287,0.5675309246898171,0.567259581081924,-0.0002713436078931597
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,stage,0.25,287,0.5675309246898171,0.567262010599176,-0.0002689140906411147
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,stage,0.35,287,0.5675309246898171,0.5672638609325366,-0.0002670637572805834
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,no_q2,0.15,287,0.5675309246898171,0.5672657754213091,-0.0002651492685080692
gk6_t1_sw0p25_pw0p75_lw8,gk6_t1,0.25,0.75,8.0,all,0.15,287,0.5675309246898171,0.5672670901625875,-0.00026383452722966716
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,stage,0.25,287,0.5675309246898171,0.5672676124630702,-0.00026331222674691457
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,no_q2,0.35,287,0.5675309246898171,0.5672679666961942,-0.0002629579936229698
gk6_t1_sw1_pw0p75_lw20,gk6_t1,1.0,0.75,20.0,stage,0.25,287,0.5675309246898171,0.5672684352844953,-0.00026248940532180853
gk6_t1_sw0p5_pw0p25_lw8,gk6_t1,0.5,0.25,8.0,all,0.15,287,0.5675309246898171,0.5672693137576182,-0.00026161093219889686
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,stage,0.5,287,0.5675309246898171,0.567269675436001,-0.0002612492538160982
gk6_t1_sw1_pw0p75_lw8,gk6_t1,1.0,0.75,8.0,no_q2,0.15,287,0.5675309246898171,0.5672712336462877,-0.00025969104352940864
gk6_t1_sw0p5_pw0p25_lw8,gk6_t1,0.5,0.25,8.0,no_q2,0.15,287,0.5675309246898171,0.5672741712050305,-0.0002567534847865982
gk6_t1_sw1_pw0p75_lw8,gk6_t1,1.0,0.75,8.0,all,0.25,287,0.5675309246898171,0.5672754252938524,-0.00025549939596469784
gk6_t1_sw0p25_pw0p25_lw20,gk6_t1,0.25,0.25,20.0,stage,0.15,287,0.5675309246898171,0.5672784038727718,-0.0002525208170452986
gk6_t1_sw0p5_pw0p25_lw20,gk6_t1,0.5,0.25,20.0,stage,0.15,287,0.5675309246898171,0.5672852009144568,-0.0002457237753603625
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,stage,0.15,287,0.5675309246898171,0.5672876760529146,-0.00024324863690250442
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,all,0.25,287,0.5675309246898171,0.5672883718171053,-0.0002425528727117987
gk6_t1_sw1_pw0p75_lw20,gk6_t1,1.0,0.75,20.0,stage,0.15,287,0.5675309246898171,0.567288791307263,-0.00024213338255418826
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,stage,0.25,287,0.5675309246898171,0.5672901600149889,-0.00024076467482825326
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,core_q_s23,0.75,287,0.5675309246898171,0.5672905592750462,-0.00024036541477090445
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,no_q2,0.15,287,0.5675309246898171,0.5672911677805204,-0.0002397569092967844
gk6_t1_sw1_pw0p75_lw8,gk6_t1,1.0,0.75,8.0,no_q2,0.25,287,0.5675309246898171,0.5672916013747453,-0.00023932331507181548
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,stage,0.5,287,0.5675309246898171,0.567292041964829,-0.00023888272498817642
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,core_q_s23,0.75,287,0.5675309246898171,0.5672964062039104,-0.00023451848590672064
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,all,0.25,287,0.5675309246898171,0.5672988536593223,-0.00023207103049482924
