model,k,C,scaler,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
selectk_logistic_feature_only,20,0.1,standard,chrono_last_25,0.6540409391534163,0.721982269289029,0.6951513622247664,0.7208494385797772,0.5542788881727667,0.6195771232834191,0.6135255107997832,0.6529219817243723
selectk_logistic_feature_only,20,0.003,robust,chrono_last_25,0.6549477633673829,0.6962599494517979,0.6738022022108512,0.683233718821919,0.6366012358562888,0.6372189558048169,0.6355162635743653,0.6220020178516414
selectk_logistic_feature_only,20,0.1,standard,chrono_last_20,0.6555616609069475,0.7029343089154735,0.6989809195969398,0.7552872715612634,0.5361051625599166,0.6295082087537199,0.635445200809273,0.630670554152046
selectk_logistic_feature_only,50,0.03,standard,chrono_last_20,0.6555977804671324,0.7054857930636221,0.6990410892453484,0.7821862645080911,0.5465526206322375,0.616010065696594,0.6189576596836761,0.6209509704403577
selectk_logistic_feature_only,30,0.003,robust,chrono_last_25,0.6557743962506041,0.6975677892804542,0.6714452566938061,0.6875636160568676,0.6359791712150521,0.6348742134756439,0.6339427058174191,0.6290480212149855
selectk_logistic_feature_only,20,0.03,standard,chrono_last_25,0.6559763838399875,0.7260255660917886,0.6838361699150763,0.717488610279475,0.5773462650345518,0.617354481472869,0.6164898826810437,0.653293711405108
selectk_logistic_feature_only,30,0.01,robust,chrono_last_30,0.656051979397196,0.6803790361668857,0.6731310740422612,0.7377220968221659,0.6035997632322756,0.6410963745537437,0.602028547836893,0.6544069631261468
selectk_logistic_feature_only,50,0.03,standard,chrono_last_25,0.6565066495563684,0.7093609354487969,0.6774569155399671,0.7921480931181143,0.5634419020859402,0.6053846273173107,0.6044196867259195,0.6433343866585302
selectk_logistic_feature_only,20,0.03,standard,chrono_last_30,0.6570492844089227,0.6841909844353987,0.6810930832581961,0.6996322267379639,0.6004779229551507,0.6520283969838944,0.6133559885102392,0.668566387981616
selectk_logistic_feature_only,50,0.01,standard,chrono_last_20,0.6572728451231412,0.7000220896281338,0.6973616045100869,0.760403553003234,0.5777992830706221,0.6054896340049224,0.6275463731314742,0.632287378513515
selectk_logistic_feature_only,30,0.03,robust,chrono_last_30,0.6573124681306522,0.6813540349935049,0.6777797361318368,0.7532206862776185,0.5887715802883077,0.644747459653605,0.594163368454584,0.6611504111151079
selectk_logistic_feature_only,20,0.1,robust,chrono_last_30,0.6573641414495498,0.6840573493382998,0.6955969602836188,0.7146960930089876,0.590054106518585,0.6521779381386965,0.6021617849881528,0.6628047578705074
selectk_logistic_feature_only,20,0.03,standard,chrono_last_20,0.6576623015364286,0.7094434406732105,0.6977829458615082,0.7464910660374195,0.559840151003648,0.6191845048715758,0.6364496001774052,0.6344444021302328
selectk_logistic_feature_only,50,0.01,standard,chrono_last_25,0.6577747298309851,0.7044259293374612,0.6738151068628915,0.7566369152724443,0.5968025077146035,0.6052812188064434,0.6191374460730829,0.6483239847499691
selectk_logistic_feature_only,50,0.1,robust,chrono_last_25,0.6580688636956218,0.7189487238499308,0.6874433603266963,0.8264314709205385,0.5356434584410897,0.6081009459740799,0.5895896192726615,0.6403244670843556
selectk_logistic_feature_only,30,0.03,standard,chrono_last_30,0.6585932092218015,0.679046852864597,0.6758825702101706,0.7264383726791028,0.5974716310196183,0.6532727707869364,0.6086675145600757,0.6693727524321105
selectk_logistic_feature_only,80,0.01,standard,chrono_last_25,0.6586291891015504,0.6971153887349639,0.6913731570296617,0.7710438454903269,0.5878266055745853,0.6042268297113749,0.6215242394012521,0.6372942577686878
selectk_logistic_feature_only,80,0.01,robust,chrono_last_20,0.6586982250006034,0.7165475048763312,0.7178499748599615,0.8181946582886435,0.5312543667059745,0.5921567895201193,0.6269487496969527,0.607935531056241
selectk_logistic_feature_only,20,0.1,standard,chrono_last_30,0.6589255246617006,0.6775854669492373,0.6964883960275792,0.7156065128987056,0.5913891246591306,0.655549443582401,0.6078943578390451,0.667965370675806
selectk_logistic_feature_only,20,0.01,standard,chrono_last_30,0.6589853650539429,0.6843582930902347,0.6758460199774811,0.6865947007929444,0.6208436245380582,0.653120635192454,0.6224980754891054,0.6696362062973218
selectk_logistic_feature_only,30,0.1,robust,chrono_last_20,0.6592128535066155,0.7236986890510114,0.733644336666553,0.7531297736973536,0.5221489822394759,0.629954563109456,0.6242174503036015,0.6276961794788567
selectk_logistic_feature_only,30,0.01,standard,chrono_last_30,0.6594363868131676,0.682826314043682,0.6731658515244734,0.6981378818558319,0.6190219508943606,0.6528166812175998,0.6183857012866607,0.6717003268695649
