model,subset,n_features,k,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
rf100,noflat_no_routine,520,200,chrono_last_20,0.6378927400347931,0.673744662881871,0.6832725807622949,0.6729711303186912,0.5403974599441428,0.6525139768613082,0.6345750572516966,0.6077743122235472
rf100,sleep,176,100,chrono_last_30,0.6379585518935501,0.6560685355154686,0.6709095281886106,0.630975593391207,0.5765864511411407,0.6801428591784587,0.601058130178443,0.6499687656615218
rf100,noflat_no_routine,520,500,chrono_last_20,0.6380826694826495,0.6878035064231963,0.6708338114117425,0.6799942026991895,0.5454724561583021,0.6422433699964173,0.6261620621297985,0.6140692775598999
rf100,sleep,176,50,chrono_last_20,0.6383973296289056,0.6487928827010293,0.6829588030977853,0.6707964799893413,0.5483614723558412,0.6632646078122618,0.6295777465166951,0.6250293149293854
rf100,sleep,176,50,chrono_last_30,0.6385104507661025,0.6613400124560119,0.6767752677619184,0.6195328081862533,0.5803624395041291,0.6710191821810066,0.5999312587066447,0.6606121865667527
rf100,sleep,176,50,chrono_last_25,0.6386906158793001,0.6653510231077042,0.6820649799210347,0.6439088891953187,0.5563639442441998,0.6562169586500551,0.6285656398043693,0.638362876232419
rf300,noflat_no_routine,520,100,chrono_last_25,0.6391549113181622,0.6930501408254067,0.661893038379139,0.6723066094465754,0.5656650541317015,0.6180114855824637,0.6332017686774524,0.6299562821843967
rf300,noflat_no_routine,520,50,chrono_last_25,0.6397278859434922,0.7028431935597271,0.6750939370600749,0.6912756564932978,0.5603604131190418,0.6118634539665866,0.6088005823117849,0.6278579650939314
rf300,sleep,176,50,chrono_last_20,0.6405422358381323,0.6563984189052757,0.6879292259682452,0.6701358993825463,0.5503940235152363,0.6613321086883733,0.6324914987476151,0.6251144756596345
rf100,noflat_no_routine,520,50,chrono_last_25,0.6405470126854581,0.7070962883645362,0.6695652486112672,0.6967713962500084,0.5524181866121136,0.6159467895998463,0.6088083407862143,0.6332228385742219
