target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,student_policy_score
S2,student_recovered_tail_score,top_decisive,0.14,51,-1.2946417148580347,-0.025385131663883034,0.2549019607843137,9,5,4,28,23,-2.12676424312919,1.9989957801800087,0.8321225282711555,0.4162702775671809,-2.872556115931902,-3.3983327249566244
S2,student_recovered_tail_score,top_decisive,0.18,66,-2.9465521503354566,-0.04464472955053722,0.21212121212121213,9,4,5,34,32,-2.931696795942608,2.8985914124110876,-0.014855354392848685,-0.00512502532410796,-5.828021602662941,-6.7727529558918995
S2,student_conservative_tail_score,top_all,0.01,4,-0.42654263356379507,-0.10663565839094877,0.0,2,0,2,2,2,-0.19080352226393385,0.5203039767471112,-0.23573911129986122,-0.45307958777036217,-2.054359281295783,-2.517640868650158
S2,student_conservative_tail_score,top_all,0.02,9,0.19806900554489054,0.022007667282765615,0.2222222222222222,3,1,2,5,4,-0.32738230268186,0.679945746995899,0.5254513082267506,0.7727841677784915,-0.7629668420201199,-1.0288795799946195
S2,student_conservative_tail_score,top_all,0.04,18,0.5303965384493683,0.029466474358298238,0.3333333333333333,7,4,3,11,7,-0.7888183981833069,1.3173359472069446,1.319214936632675,1.0014263555395375,-0.24106893150857456,-0.4709543023056019
S2,student_conservative_tail_score,top_all,0.06,27,0.248181717486317,0.009191915462456186,0.2962962962962963,9,4,5,16,11,-1.335289936354256,0.8642858542242797,1.583471653840573,1.8321156664790983,-1.860687933317869,-2.409476769234585
S2,student_conservative_tail_score,top_all,0.08,36,0.3786619829766644,0.010518388416018456,0.3333333333333333,9,5,4,21,15,-0.9454754020065301,1.0552496894981342,1.3241373849831946,1.2548095471252312,-0.9157423109000278,-1.3194278547447216
S2,student_conservative_tail_score,top_all,0.1,45,0.723015629318698,0.016067013984859956,0.3333333333333333,9,5,4,26,19,-0.5700055549168751,2.232188553211192,1.293021184235573,0.5792616319868914,-0.6498341263334959,-1.0741873546529088
S2,student_conservative_tail_score,top_all,0.14,63,-0.12657293565798677,-0.0020090942167934407,0.30158730158730157,9,5,4,33,30,-1.5158821476809208,1.8706854419109569,1.389309212022934,0.7426738781928598,-1.4604917680751184,-1.8562559019047162
S2,student_conservative_tail_score,top_all,0.18,81,-1.7157488165141217,-0.02118208415449533,0.24691358024691357,9,4,5,42,39,-2.7767508154564595,3.18829208125301,1.0610019989423378,0.33278067752354745,-4.174700296045529,-4.868705580763011
S2,student_conservative_tail_score,top_decisive,0.01,4,-0.04000477091100818,-0.010001192727752045,0.25,3,1,2,3,1,-0.28675320054199965,0.6103019593218925,0.24674842963099147,0.4043054849523244,-1.1257122720449289,-1.4658740235307541
S2,student_conservative_tail_score,top_decisive,0.02,7,0.6417602069222987,0.09168002956032839,0.42857142857142855,3,1,2,6,1,-0.25165456253424934,0.645649805852027,0.8934147694565481,1.383745122137162,-0.05717011155419338,-0.24686695499358674
S2,student_conservative_tail_score,top_decisive,0.04,15,0.42654329568269134,0.028436219712179422,0.3333333333333333,7,3,4,11,4,-0.5902585995828852,1.4536985575076762,1.0168018952655764,0.6994585569437818,-1.430963518613312,-1.9564432448966873
S2,student_conservative_tail_score,top_decisive,0.06,22,0.28485410038970543,0.01294791365407752,0.36363636363636365,8,5,3,15,7,-0.4149847464932021,1.602570492548739,0.6998388468829075,0.436697699188183,-0.5492598060097313,-0.915926553606535
S2,student_conservative_tail_score,top_decisive,0.08,29,0.6472062355989234,0.022317456399962878,0.3793103448275862,8,5,3,20,9,-1.719614869519485,1.0311097054180896,2.3668211051184085,2.295411528648856,0.5878933959449073,0.64023944621236
S2,student_conservative_tail_score,top_decisive,0.1,36,0.6974845755800174,0.01937457154388937,0.3611111111111111,8,5,3,23,13,-0.7712929891936591,2.039187908251918,1.4687775647736765,0.7202757327218449,0.15997318541187777,-0.0239135711468509
S2,student_conservative_tail_score,top_decisive,0.14,51,-1.443129365019585,-0.028296654216070295,0.2549019607843137,9,4,5,30,21,-1.240006174736837,2.215914037173962,-0.20312319028274817,-0.091665645361315,-4.384173359880169,-5.378215202630859
S2,student_conservative_tail_score,top_decisive,0.18,66,-2.654507278075027,-0.040219807243561015,0.22727272727272727,9,3,6,37,29,-3.2370236489913418,1.039577220483923,0.5825163709163146,0.5603396837082995,-6.215047125338033,-7.232588839080386
S2,student_teacher_mean,top_all,0.01,4,-0.3032398780829343,-0.07580996952073357,0.0,3,0,3,1,3,-0.014946755858553701,0.5035556712581074,-0.2882931222243806,-0.5725148949352419,-2.7113939603549917,-3.389151676365304
S2,student_teacher_mean,top_all,0.02,9,-0.6592326984532101,-0.07324807760591223,0.1111111111111111,4,1,3,1,8,0.1432400808075481,0.7828690523450659,-0.8024727792607582,-1.0250408760660161,-3.053713369912188,-3.8498940377745936
S2,student_teacher_mean,top_all,0.04,18,-1.1342944565166002,-0.06301635869536668,0.05555555555555555,5,1,4,4,14,-0.3771529100061157,0.6671272506594393,-0.7571415465104845,-1.1349282251055823,-4.293342375861384,-5.275739051616462
S2,student_teacher_mean,top_all,0.06,27,-0.8757405472441693,-0.03243483508311738,0.18518518518518517,7,3,4,8,19,-0.8041462299955239,1.5468820562460697,-0.0715943172486454,-0.04628298386393368,-3.2406120418527737,-4.016522913015759
S2,student_teacher_mean,top_all,0.08,36,-1.5957756865589987,-0.04432710240441663,0.1388888888888889,8,2,6,11,25,-1.5809159298189832,1.9163686345607875,-0.014859756740015495,-0.007754122287344367,-5.653140902535627,-6.830602617920466
S2,student_teacher_mean,top_all,0.1,45,-1.315630983963557,-0.029236244088079042,0.2,8,3,5,19,26,-2.3744521936909155,1.9291584354840212,1.0588212097273586,0.5488513489881939,-3.970158425660162,-4.675652520443106
S2,student_teacher_mean,top_all,0.14,63,-2.1148045877865074,-0.033568326790262025,0.20634920634920634,9,4,5,27,36,-1.2138820243852764,3.0830514615829774,-0.900922563401231,-0.29221781557245136,-5.337127044311961,-6.490818510840614
S2,student_teacher_mean,top_all,0.18,81,-2.0427241845209805,-0.02521881709285161,0.20987654320987653,9,4,5,32,49,-1.9902722728285434,2.3514502394838344,-0.052451911692437125,-0.022306196751138062,-4.9398561831649905,-5.893353901110262
S2,student_teacher_mean,top_decisive,0.01,4,-0.44404895815007145,-0.11101223953751786,0.0,2,0,2,1,3,-0.40523878851239986,0.5631372361835735,-0.03881016963767159,-0.06891778263623845,-1.9645242957868803,-2.3748289904562694
S2,student_teacher_mean,top_decisive,0.02,7,-0.866479567748913,-0.12378279539270186,0.0,3,0,3,2,5,-0.24346250456145196,1.0541955149919089,-0.623017063187461,-0.5909881557333724,-3.393634355437862,-4.148748043085645
S2,student_teacher_mean,top_decisive,0.04,15,-0.8653503005269911,-0.057690020035132746,0.13333333333333333,5,1,4,8,7,-0.23332290016974983,1.4383219662541329,-0.6320274003572413,-0.4394199735426763,-3.8838352213396266,-4.8313232562259785
S2,student_teacher_mean,top_decisive,0.06,22,-0.783487740637505,-0.03561307911988659,0.18181818181818182,7,2,5,10,12,-1.0269031400969488,1.8097551698546752,0.2434153994594438,0.13450183953832287,-3.971205803236504,-4.890712042751883
S2,student_teacher_mean,top_decisive,0.08,29,-1.2706867264538129,-0.04381678367082113,0.20689655172413793,9,3,6,16,13,-1.7425909375247421,1.810667059299215,0.4719042110709293,0.26062450777315793,-4.907044008698223,-5.95398320516886
S2,student_teacher_mean,top_decisive,0.1,36,-1.2505595628813302,-0.034737765635592506,0.25,9,4,5,20,16,-0.7110163685299491,2.113875832563133,-0.5395431943513811,-0.2552388300391183,-4.3274235639082255,-5.401623275209825
S2,student_teacher_mean,top_decisive,0.14,51,-1.8779512682246275,-0.0368225738867574,0.21568627450980393,9,4,5,23,28,-0.8555257231006193,1.9781922354413615,-1.0224255451240083,-0.5168484269658916,-5.1619948556361885,-6.349058327005008
S2,student_teacher_mean,top_decisive,0.18,66,-2.006993207256865,-0.03040898798874038,0.22727272727272727,9,4,5,32,34,-2.058140467165027,1.4744637564611747,0.051147259908161935,0.03468871966776536,-4.856077339776777,-5.786346968331817
S2,student_pessimistic_mean,top_all,0.01,4,-0.17175964589932952,-0.04293991147483238,0.25,3,1,2,1,3,-0.5730474090524103,0.29148455534887474,0.40128776315308073,1.3767033477049366,-1.1061385940252575,-1.3913083415459502
S2,student_pessimistic_mean,top_all,0.02,9,-0.4584365473610477,-0.05093739415122753,0.1111111111111111,4,1,3,2,7,0.05997706173146574,0.8497908311701756,-0.5184136090925134,-0.6100484849649996,-2.7119972701510386,-3.4345444810527272
S2,student_pessimistic_mean,top_all,0.04,18,-0.6652365060386961,-0.03695758366881645,0.1111111111111111,6,2,4,5,13,-0.31732067262218655,1.3947765390216966,-0.34791583341650956,-0.24944198850701885,-3.3730623576962873,-4.229182950263336
S2,student_pessimistic_mean,top_all,0.06,27,-0.7243387861338515,-0.02682736244940191,0.18518518518518517,6,2,4,9,18,-1.0631504271569239,1.7295339113019268,0.3388116410230724,0.1958976570560724,-3.121350131255354,-3.8180240191974444
S2,student_pessimistic_mean,top_all,0.08,36,-0.8140134359522379,-0.022611484332006607,0.2222222222222222,9,4,5,12,24,-0.34080137227290547,1.1812883682191597,-0.4732120636793324,-0.40058979366123687,-3.8919188598283503,-4.9509916525700435
S2,student_pessimistic_mean,top_all,0.1,45,-0.6766893697779157,-0.01503754155062035,0.2222222222222222,9,5,4,15,30,-1.3570739025756453,1.8879213003880786,0.6803845327977296,0.360388186021245,-2.324738186918808,-2.8832642028771276
S2,student_pessimistic_mean,top_all,0.14,63,-0.9150790319707722,-0.014525063999536066,0.23809523809523808,9,5,4,27,36,-1.1638102979770646,1.69420952096866,0.24873126600629236,0.14681257715048188,-2.7300084978201884,-3.393673578905255
S2,student_pessimistic_mean,top_all,0.18,81,-1.8299679921192826,-0.022592197433571392,0.24691358024691357,9,4,5,38,43,-2.4553235624010235,2.4744617426741766,0.6253555702817408,0.25272387909538363,-4.449401401524716,-5.2452065008026985
S2,student_pessimistic_mean,top_decisive,0.01,4,-0.4618009715247355,-0.11545024288118387,0.0,3,0,3,2,2,-0.06539995090440416,0.6061559841173504,-0.39640102062033133,-0.6539587680513421,-2.9159372055469857,-3.6201886156506884
S2,student_pessimistic_mean,top_decisive,0.02,7,-0.42372612728597786,-0.06053230389799684,0.14285714285714285,3,1,2,4,3,-0.710808312433428,0.38786638494609793,0.28708218514745015,0.7401574260871979,-1.4992316198756506,-1.8126852830557072
