law_name,feature_view,model_name,model_family,policy,param,logloss,switched_cells,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,episode_route_match_rate,episode_family_match_rate,mean_row_episode_score_switched,target_null_p_ge_observed,target_family_null_p_ge_observed,target_null_z,target_family_null_z,target_null_mean,target_null_std,target_family_null_mean,target_family_null_std
episode_full_assignment__episode_elasticnet_sparse,episode_full_assignment,episode_elasticnet_sparse,elasticnet,topfrac,0.02,0.6397827543603812,15,-0.0027856722093863276,-0.13649793825993004,0.4666666666666667,0.4666666666666667,0.6,0.026939787278149184,0.9826666666666667,0.959,-2.1667988159921303,-1.935288960868376,-0.0002525433667153742,0.0011690650853116182,-0.0007415246012742343,0.0010562492989134146
episode_human_listener_assignment__episode_elasticnet_sparse,episode_human_listener_assignment,episode_elasticnet_sparse,elasticnet,topfrac,0.02,0.6398117187897845,15,-0.0028146366387897044,-0.1379171953006955,0.4,0.13333333333333333,0.4,0.03743139519683996,0.9026666666666666,0.577,-1.255764676064973,-0.25328729222536694,-0.00097909041080421,0.0014616960191437358,-0.0023625203975728274,0.0017849937801640596
episode_human_listener_assignment__episode_tree_depth3_leaf14,episode_human_listener_assignment,episode_tree_depth3_leaf14,tree,threshold,0.08,0.6398553455198667,16,-0.0028582633688717623,-0.1313014735075466,0.6875,0.0,0.5,0.012880035887385186,0.8586666666666667,0.856,-1.0919525483210135,-1.0635432924080124,-0.0009426203198360699,0.0017543281088369504,-0.0009680889553335466,0.0017772425692785798
episode_human_listener_assignment__episode_tree_depth3_leaf14,episode_human_listener_assignment,episode_tree_depth3_leaf14,tree,threshold,0.12,0.6398553455198667,16,-0.0028582633688717623,-0.1313014735075466,0.6875,0.0,0.5,0.012880035887385186,0.8693333333333333,0.8563333333333333,-1.1288157412595106,-1.0668307725505095,-0.0008748485455376231,0.001757075801513083,-0.0009665602066466414,0.0017731989092352111
episode_full_assignment__episode_elasticnet_sparse,episode_full_assignment,episode_elasticnet_sparse,elasticnet,threshold,0.08,0.6398711128872416,27,-0.002874030736246821,-0.0782375033756079,0.4074074074074074,0.5925925925925926,0.7037037037037037,0.021845829429108905,0.954,0.929,-1.6738730151723136,-1.630312606029581,-0.0004688428044163103,0.0014368998783237529,-0.0008603442329160404,0.001235153611573217
episode_route_gate__episode_elasticnet_sparse,episode_route_gate,episode_elasticnet_sparse,elasticnet,topfrac,0.06,0.6398847655816182,44,-0.002887683430623446,-0.048237439125187104,0.5,0.4318181818181818,0.6590909090909091,0.019773821815562226,0.897,0.8606666666666667,-1.2655660083225355,-1.1313269624849738,-0.0007567938836978498,0.0016837442953686924,-0.0012817607538927207,0.0014195035829459028
episode_human_listener_assignment__episode_tree_depth3_leaf14,episode_human_listener_assignment,episode_tree_depth3_leaf14,tree,topfrac,0.02,0.6398948986817955,15,-0.0028978165308006327,-0.141993010009231,0.6666666666666666,0.0,0.5333333333333333,0.010755974034722442,0.8833333333333333,0.8896666666666667,-1.181531006236816,-1.1962768899931666,-0.0008764761027208653,0.001710780688284897,-0.000876819396807561,0.0016894058147396097
route_law_no_episode__episode_elasticnet_sparse,route_law_no_episode,episode_elasticnet_sparse,elasticnet,topfrac,0.005,0.639901530983186,4,-0.0029044488321912187,-0.5336924729151364,0.5,0.0,0.25,0.03243078914938869,0.9996666666666667,0.9933333333333333,-5.001833965391884,-3.17337390109627,-0.00017230184925169455,0.0005462290435555203,-0.0004316673735238323,0.000779227893004711
episode_route_gate__episode_elasticnet_sparse,episode_route_gate,episode_elasticnet_sparse,elasticnet,topfrac,0.005,0.6399437443869632,4,-0.0029466622359683677,-0.5414491858591876,0.5,0.0,0.5,0.03999672649854254,0.9986666666666667,0.9916666666666667,-4.054734215879625,-3.528265391458101,-5.368806390312077e-05,0.0007134805928180058,-0.00035461403842801224,0.0007346522752556203
episode_full_assignment__episode_elasticnet_sparse,episode_full_assignment,episode_elasticnet_sparse,elasticnet,topfrac,0.005,0.6399437443869632,4,-0.0029466622359683677,-0.5414491858591876,0.5,0.0,0.5,0.03999672649854254,0.9993333333333333,0.993,-3.9863178975869755,-3.488974887381018,-4.090145002323255e-05,0.0007289335322965761,-0.00036221370587795923,0.0007407472433917151
episode_route_gate__episode_elasticnet_sparse,episode_route_gate,episode_elasticnet_sparse,elasticnet,threshold,0.08,0.6400058480453158,19,-0.0030087658943210023,-0.11639173328031246,0.47368421052631576,0.3684210526315789,0.631578947368421,0.02272904476830867,0.976,0.953,-1.9969323578477185,-1.877704187077257,-0.0003507063373815312,0.0013310714038427978,-0.0008967783673076101,0.0011247711655267751
route_law_no_episode__episode_elasticnet_sparse,route_law_no_episode,episode_elasticnet_sparse,elasticnet,topfrac,0.01,0.6400212263299048,7,-0.003024144178909911,-0.31753513878554074,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.023588639111690655,0.9973333333333333,0.986,-3.7377725113128832,-2.868579926289891,-0.0003196356642680981,0.0007235615614530436,-0.0005026190591274595,0.0008790151170874623
episode_human_listener_assignment__episode_huber_linear,episode_human_listener_assignment,episode_huber_linear,huber,topfrac,0.06,0.6400818612577818,44,-0.003084779106787051,-0.05152983280655643,0.6363636363636364,0.3409090909090909,0.5227272727272727,0.024629057929419808,0.823,0.724,-0.9104777036943161,-0.5988270186720153,-0.0011865184929378482,0.0020849062048932123,-0.001799445759568466,0.0021464184265917
episode_route_gate__episode_elasticnet_sparse,episode_route_gate,episode_elasticnet_sparse,elasticnet,topfrac,0.03,0.6401039946672933,22,-0.0031069125162984878,-0.10379912270360857,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.023190222830076778,0.9733333333333334,0.9603333333333334,-1.9180375253272788,-1.9899007267639748,-0.00043502580353614487,0.001393031511365469,-0.0008693152071661423,0.0011244768540645649
episode_route_gate__episode_elasticnet_sparse,episode_route_gate,episode_elasticnet_sparse,elasticnet,topfrac,0.08,0.6401079469822838,59,-0.0031108648312889865,-0.03875399408470177,0.4745762711864407,0.423728813559322,0.6949152542372882,0.011674416652539637,0.887,0.8426666666666667,-1.2097389323170553,-0.9988402170536874,-0.0008680449045940473,0.0018539701970235736,-0.0013931466557133808,0.001719712669001671
episode_route_gate__episode_gbdt_shallow,episode_route_gate,episode_gbdt_shallow,gbdt,topfrac,0.06,0.6402124952024116,44,-0.003215413051416828,-0.0537120134725311,0.5,0.09090909090909091,0.38636363636363635,0.025560216035881423,0.828,0.8483333333333334,-0.9412293191819239,-1.0518250826220459,-0.001418447292119364,0.0019091689163054436,-0.0011546673632040609,0.001959209494296932
episode_route_gate__episode_elasticnet_sparse,episode_route_gate,episode_elasticnet_sparse,elasticnet,topfrac,0.02,0.6402506339257412,15,-0.003253551774746465,-0.15942403696257684,0.4666666666666667,0.26666666666666666,0.6,0.02507897689686795,0.99,0.9766666666666667,-2.42896513168023,-2.2630857254248355,-0.00028940497698144816,0.0012203332024427118,-0.0008247702869118257,0.001073216741437711
episode_human_listener_assignment__episode_tree_depth2_leaf18,episode_human_listener_assignment,episode_tree_depth2_leaf18,tree,threshold,0.04,0.6402813171626869,13,-0.003284235011692056,-0.1856855948918201,0.6153846153846154,0.07692307692307693,0.38461538461538464,0.025893675911806913,0.9,0.9006666666666666,-1.2863142852464677,-1.3018076201359237,-0.0010984898117751454,0.0016992310704985328,-0.0010569542395141756,0.0017109139151799764
episode_human_listener_assignment__episode_tree_depth2_leaf18,episode_human_listener_assignment,episode_tree_depth2_leaf18,tree,threshold,0.08,0.6402813171626869,13,-0.003284235011692056,-0.1856855948918201,0.6153846153846154,0.07692307692307693,0.38461538461538464,0.025893675911806913,0.9046666666666666,0.9126666666666666,-1.3305423948850081,-1.329686958002911,-0.0010301882168258162,0.001694081153318715,-0.0010534827477946948,0.0016776522101471028
